ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Right
AA9060,VR,1,BarChartQ1,Right
AA9060,VR,1,BarChartQ1,Right
AA9060,VR,1,BarChartQ1,Right
AA9060,VR,1,BarChartQ1,Right
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,1,BarChartQ1,Front
AA9060,VR,2,BarChartQ2,Front
AA9060,VR,2,BarChartQ2,Front
AA9060,VR,2,BarChartQ2,Front
AA9060,VR,2,BarChartQ2,Front
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Top
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
AA9060,VR,2,BarChartQ2,Right
