ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
AA9060,VR,BarChartQ1,WaitingToReadyUp,0,0.109699,1.10401,-0.8224808,348.9703,359.7337,357.6625,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,100,0.1105112,1.103948,-0.8223805,349.0189,0.3684398,357.5738,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,200,0.1113084,1.103798,-0.8223343,349.0162,0.9211347,357.5876,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,300,0.1125785,1.104084,-0.8227441,348.686,2.154836,357.8629,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,400,0.116633,1.10642,-0.8238552,346.6717,6.168891,359.2742,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,500,0.1215497,1.109259,-0.8263574,344.2455,11.84924,0.5534164,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,600,0.1256317,1.110725,-0.8289558,342.6539,16.7364,0.8458157,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,700,0.1293714,1.110965,-0.8310416,341.8965,20.45987,0.6606672,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,800,0.1320118,1.110969,-0.8332013,341.9258,22.96642,0.5331141,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,900,0.13461,1.110112,-0.8346416,342.7099,24.68205,359.6714,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1000,0.1369722,1.110127,-0.8358389,342.9019,26.05201,358.9888,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1100,0.1385382,1.110074,-0.8368679,342.9652,26.88987,358.5263,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1200,0.1392755,1.10995,-0.8371826,343.04,27.21491,358.2274,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1300,0.138888,1.109926,-0.836919,343.1629,26.71706,358.2045,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1400,0.1387922,1.109657,-0.8369004,343.225,26.63565,358.0937,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1500,0.1392016,1.109471,-0.8369209,343.2545,27.00823,357.9686,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1600,0.1397032,1.109366,-0.8368973,343.3871,27.45776,357.872,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1700,0.1405588,1.1093,-0.837032,343.4467,27.92172,357.6918,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1800,0.1408643,1.109094,-0.8375003,343.5313,28.12626,357.6404,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,1900,0.1415643,1.108962,-0.8376582,343.5874,28.23721,357.5952,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2000,0.1422337,1.109035,-0.8378818,343.6208,28.48693,357.5141,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2100,0.1422661,1.109098,-0.8378279,343.6808,28.65441,357.4504,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2200,0.1420541,1.109099,-0.8377141,343.6414,28.52289,357.4266,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2300,0.1416086,1.108712,-0.8373249,343.7073,28.24324,357.4542,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2400,0.1411911,1.108799,-0.8370112,343.7242,28.01672,357.3629,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2500,0.1402878,1.108851,-0.8365645,343.7974,27.71405,357.3453,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2600,0.1396099,1.108785,-0.8362424,343.812,27.53516,357.3377,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2700,0.1392102,1.108996,-0.8358315,343.7794,27.21242,357.1863,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2800,0.1387943,1.108723,-0.8351302,343.8558,26.96068,357.0401,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,2900,0.1382188,1.108851,-0.8347118,343.9276,26.77592,356.9576,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,3000,0.1375999,1.108532,-0.8342845,344.0062,26.5239,356.9519,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,3100,0.1368307,1.108231,-0.8337724,344.0938,25.9729,356.9155,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,3200,0.135537,1.108382,-0.8329311,344.1882,24.97912,356.875,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,3300,0.1335035,1.108478,-0.8319113,344.1507,23.53445,357.0332,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,WaitingToReadyUp,3400,0.1322542,1.108077,-0.8311703,344.3486,22.56054,357.4371,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,ReadingQuestion,3500,0.1316588,1.108121,-0.8310125,344.3971,22.09785,357.6682,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,ReadingQuestion,3600,0.1317571,1.108081,-0.8311989,344.3639,21.96298,357.6397,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,ReadingQuestion,3700,0.1318112,1.108171,-0.8312353,344.3595,21.82014,357.5931,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,ReadingQuestion,3800,0.1315703,1.10817,-0.8311716,344.4112,21.63683,357.6972,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,ReadingQuestion,3900,0.1316772,1.107951,-0.8311492,344.381,21.8011,357.8406,0,0,0,0,0,0,0,0
AA9060,VR,BarChartQ1,ReadingQuestion,4000,0.1315932,1.108111,-0.8312513,344.5222,21.90031,357.9345,0,0,0,0,0,0,0,0
