ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Left
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Left
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Back
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Back
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Back
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Bottom
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Right
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Top
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Top
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,1,SurfacePlotQ1,Front
AC9337,VR Monitor Stereo,2,SurfacePlotQ2,Front
AC9337,VR Monitor Stereo,2,SurfacePlotQ2,Front
AC9337,VR Monitor Stereo,2,SurfacePlotQ2,Front
AC9337,VR Monitor Stereo,2,SurfacePlotQ2,Front
AC9337,VR Monitor Stereo,2,SurfacePlotQ2,Front
AC9337,VR Monitor Stereo,2,SurfacePlotQ2,Front
AC9337,VR Monitor Stereo,2,SurfacePlotQ2,Front
AC9337,VR Monitor Stereo,2,SurfacePlotQ2,Front
