ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,0,0.1110547,1.105817,-0.9818994,357.7505,16.78708,4.99244,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,100,0.1134534,1.110358,-0.9865292,354.1924,21.78157,6.293524,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,200,0.1157585,1.113549,-0.9924407,351.353,26.25554,6.671907,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,300,0.1173846,1.115235,-0.9970645,349.864,28.95688,6.550304,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,400,0.1184099,1.11531,-0.9987029,349.8647,29.32657,5.988704,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,500,0.1181515,1.113914,-0.9975655,351.121,27.28724,5.59411,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,600,0.1132713,1.110502,-0.9936635,354.2015,20.91791,5.601456,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,700,0.106225,1.105205,-0.9884157,358.7585,12.64466,4.812088,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,800,0.09733902,1.100881,-0.9836813,2.575075,4.384189,4.389362,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,900,0.08543818,1.099362,-0.9813881,3.730035,354.2979,3.638596,0,0,0,0,0,0,0,0
AC9337,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1000,0.0740953,1.098477,-0.9817894,4.491531,346.2394,3.427967,0,0,0,0,0,0,0,0
