ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,0,0.07148276,1.090514,-1.052384,350.792,2.538937,2.960897,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,100,0.07262555,1.090282,-1.052365,350.9334,3.514347,2.855935,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,200,0.0732521,1.090305,-1.052412,350.9962,3.828815,2.694829,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,300,0.07337675,1.090193,-1.052242,350.9121,3.694958,2.675747,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,400,0.07315601,1.090298,-1.052409,350.8143,3.541482,2.744206,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,500,0.07288302,1.090588,-1.052831,350.6825,3.571457,2.80135,0,0,0,1,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,600,0.07306053,1.090961,-1.053098,350.5288,3.541087,2.856145,0,0,0,1,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,700,0.07402153,1.091561,-1.053456,350.1327,3.965201,2.837833,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,800,0.07902164,1.095684,-1.054186,347.1514,8.483652,2.894136,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,900,0.08860953,1.099941,-1.058477,343.8496,17.2075,2.706657,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1000,0.09516088,1.101968,-1.063638,342.3085,23.25337,2.051787,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1100,0.09736018,1.102603,-1.066901,341.6599,25.43644,1.542182,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1200,0.0972106,1.103171,-1.067721,341.3859,25.38463,1.486215,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1300,0.0967246,1.103084,-1.068063,341.4175,25.26317,1.509781,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1400,0.09666308,1.102245,-1.067837,341.9277,25.05818,1.568286,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1500,0.09620152,1.102033,-1.066814,342.1124,24.55736,1.389763,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1600,0.09626256,1.101233,-1.06592,342.524,24.19512,1.511157,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1700,0.09630118,1.100521,-1.065253,343.1241,23.77715,1.577171,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1800,0.09631546,1.100162,-1.064737,343.4029,23.33615,1.474847,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1900,0.09651925,1.099918,-1.064489,343.6539,23.37884,1.463968,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2000,0.09683041,1.099356,-1.064159,344.0612,23.65154,1.3756,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2100,0.09715283,1.098849,-1.063689,344.228,23.67026,1.37122,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2200,0.09718889,1.098779,-1.063351,344.4286,23.58034,1.392627,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2300,0.09701338,1.098414,-1.063048,344.5912,23.50981,1.314986,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2400,0.09697732,1.098702,-1.063032,344.5965,23.44918,1.254982,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2500,0.09582167,1.099076,-1.063175,344.3233,23.00004,1.407461,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2600,0.09466676,1.09921,-1.063109,344.2307,22.14259,1.594466,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2700,0.09081944,1.098776,-1.062199,344.7124,18.69322,2.077035,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2800,0.08447431,1.097568,-1.060511,345.4574,13.03601,2.455925,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2900,0.07844922,1.096488,-1.059136,346.2076,8.268643,2.68005,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3000,0.07471722,1.095917,-1.05839,346.7697,5.455567,2.9467,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3100,0.07336738,1.09571,-1.058469,347.0617,4.584852,2.937771,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3200,0.07356112,1.09531,-1.05858,347.3218,4.605306,2.865619,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3300,0.07439822,1.0953,-1.058616,347.3607,4.987593,2.810507,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3400,0.07504345,1.095351,-1.059058,347.3125,5.245522,2.666631,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3500,0.07565909,1.095586,-1.059581,347.2857,5.672164,2.572487,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3600,0.07636997,1.095485,-1.059992,347.1382,6.151963,2.420159,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3700,0.07665075,1.095832,-1.059929,346.9467,6.387413,2.40585,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3800,0.07674728,1.096014,-1.06009,346.7686,6.687415,2.441186,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3900,0.07691286,1.096365,-1.060283,346.6006,6.942911,2.406754,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4000,0.0769943,1.096344,-1.060413,346.6286,6.94435,2.433366,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4100,0.07680827,1.096236,-1.060572,346.6727,6.823607,2.443131,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4200,0.07626383,1.095988,-1.060253,346.8402,6.45926,2.568413,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4300,0.07597384,1.09606,-1.06,346.7916,6.412371,2.581165,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4400,0.07633559,1.095986,-1.059908,346.9102,6.552014,2.527086,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4500,0.07691358,1.096112,-1.059979,346.9005,6.984663,2.46927,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4600,0.07943098,1.096885,-1.059922,346.3283,8.995893,2.374592,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4700,0.08263093,1.097338,-1.060434,345.8261,11.82942,2.111147,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4800,0.0850092,1.097348,-1.061159,345.7725,13.57772,1.76749,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4900,0.08608216,1.096798,-1.061281,346.1313,13.90679,1.587454,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5000,0.08638386,1.096588,-1.060806,346.3217,14.09281,1.529009,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5100,0.08593989,1.096539,-1.060667,346.3471,14.03152,1.489897,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5200,0.08557398,1.096345,-1.060607,346.4366,13.91677,1.597486,0,0,0,0,0,0,0,0
AI9736,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5300,0.08510858,1.096343,-1.06048,346.4865,13.70309,1.680891,0,0,0,0,0,0,0,0
