ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Right
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Right
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Right
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Right
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Right
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Right
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,1,ScatterplotQ1,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
AL7521,VR Monitor Stereo,2,ScatterplotQ2,Front
