ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,0,0.06342214,1.092963,-0.9681411,342.2739,357.4179,2.037148,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,100,0.06333979,1.094161,-0.9681739,342.2564,357.798,2.305719,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,200,0.06222381,1.095338,-0.9688709,341.8199,357.7952,2.23327,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,300,0.05998249,1.097309,-0.969437,341.1158,357.7161,2.504049,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,400,0.06063802,1.100171,-0.9693293,340.4874,358.7818,2.914884,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,500,0.06490196,1.103826,-0.9679788,339.804,0.9300542,3.095207,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,600,0.06942107,1.105686,-0.9664556,339.6157,2.745581,2.162144,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,700,0.07506251,1.105484,-0.9660014,339.9947,6.530858,0.6854964,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,800,0.08171146,1.105719,-0.966499,340.1053,12.35595,0.002657829,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,900,0.08796509,1.103538,-0.9687481,340.4224,18.02233,359.9331,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1000,0.09386235,1.100035,-0.9722277,341.1195,22.81581,359.1809,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1100,0.09927738,1.095831,-0.976504,341.7541,26.47923,358.1388,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1200,0.1036991,1.095173,-0.9817921,342.1146,29.10686,357.1938,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1300,0.1072904,1.095513,-0.9866639,341.7087,30.93819,356.1468,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1400,0.1082154,1.095769,-0.9889859,340.9832,31.63054,355.2885,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1500,0.1085503,1.095739,-0.9886029,340.9364,31.97734,355.1492,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1600,0.1085344,1.095046,-0.9873494,341.4324,32.44507,355.2464,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1700,0.1079826,1.094586,-0.9861026,342.6739,32.46235,355.5962,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1800,0.1091644,1.094312,-0.9853164,343.671,33.00766,355.6175,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1900,0.1111569,1.093061,-0.9842207,344.882,33.27313,355.3575,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2000,0.1123269,1.091689,-0.9827131,345.8888,33.06572,355.0283,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2100,0.1130829,1.090829,-0.9821405,346.7029,33.3167,354.8574,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2200,0.1136197,1.089596,-0.9817545,347.6919,33.54792,354.6952,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2300,0.1147962,1.087813,-0.980497,348.9404,33.4041,354.5712,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2400,0.1164101,1.086373,-0.9793519,349.9329,33.49586,354.3528,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2500,0.1177914,1.084164,-0.9782288,351.4753,33.51307,354.2346,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2600,0.1184921,1.082853,-0.9770341,352.3296,33.47475,354.487,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2700,0.1188926,1.082406,-0.9762977,352.6613,33.49672,354.7055,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2800,0.118374,1.081584,-0.975387,353.0875,33.26949,354.9461,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2900,0.1183795,1.079776,-0.9740193,354.2997,32.84855,355.4186,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3000,0.1190407,1.076585,-0.9716226,356.4802,32.65823,355.9268,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3100,0.120643,1.072531,-0.9690312,358.7737,32.86501,356.1626,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3200,0.1238493,1.067977,-0.9663002,1.387916,33.75029,356.4143,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3300,0.1275392,1.063695,-0.9641209,3.675303,34.83492,356.8311,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3400,0.1302663,1.061501,-0.9625015,4.791913,35.46523,357.1924,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3500,0.1310367,1.061233,-0.9619026,4.898699,35.55016,357.3163,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3600,0.1311672,1.061377,-0.9622805,4.815619,35.77747,357.3023,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3700,0.1311492,1.061528,-0.962752,4.72252,36.0043,357.3621,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3800,0.1310316,1.061679,-0.9627434,4.702041,36.07685,357.3027,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3900,0.1312354,1.061793,-0.9622622,4.643296,36.05204,357.3299,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4000,0.1316443,1.061985,-0.962224,4.572403,36.19138,357.399,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4100,0.1319534,1.062266,-0.9626697,4.422741,36.51356,357.597,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4200,0.1337753,1.062798,-0.9640768,4.100327,38.51486,359.0063,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4300,0.1356666,1.063663,-0.9657341,3.461239,41.08199,0.5553088,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4400,0.136508,1.064105,-0.9666197,3.080965,42.1082,0.8411894,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4500,0.1363765,1.064264,-0.9662791,2.964087,41.49596,0.3629031,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4600,0.1362212,1.064151,-0.966006,2.973873,40.97273,0.2101259,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4700,0.1359373,1.064837,-0.9660181,2.714478,40.75909,0.0898388,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4800,0.1351971,1.065605,-0.9656379,2.413832,40.47588,0.1366146,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4900,0.1339488,1.065863,-0.9658204,2.269693,40.04858,0.2139181,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5000,0.1330182,1.066539,-0.9657856,1.880716,39.81624,0.14553,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5100,0.1287558,1.06807,-0.9634337,0.7574714,36.35731,359.7062,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5200,0.1190064,1.072762,-0.9598217,358.1805,29.28083,358.0318,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5300,0.1085727,1.076008,-0.9585385,355.8628,23.28557,357.6287,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5400,0.1018516,1.077081,-0.9585901,355.2547,20.06124,357.9523,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5500,0.09872727,1.077393,-0.9582821,354.9897,19.11762,358.1596,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5600,0.09723618,1.077508,-0.9575856,354.8908,18.56378,358.5376,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5700,0.09653649,1.077444,-0.9570695,354.7185,17.98172,358.8593,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5800,0.09654795,1.077398,-0.9571526,354.6205,17.84378,358.875,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,5900,0.0974266,1.07744,-0.9573729,354.6456,18.52289,359.0159,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6000,0.09787582,1.077313,-0.9576075,354.6324,18.95976,359.0074,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6100,0.09851451,1.077555,-0.9579819,354.571,19.46905,358.9918,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6200,0.1018749,1.078084,-0.959779,354.3677,22.55078,359.49,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6300,0.1073079,1.077985,-0.962603,354.3716,27.09159,0.2164866,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6400,0.1116841,1.077948,-0.9651605,354.1558,30.3911,0.4390995,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6500,0.1146518,1.0784,-0.9672117,353.9742,32.43322,0.1558725,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6600,0.1171106,1.078849,-0.969181,353.5941,33.9698,359.6591,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6700,0.1187177,1.079631,-0.9708469,353.025,34.85168,359.2455,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6800,0.1194701,1.081595,-0.9722641,351.622,35.54564,359.2425,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,6900,0.117321,1.090486,-0.9751621,346.246,35.34452,359.7387,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,7000,0.1147773,1.093691,-0.9795566,344.781,35.59951,359.3529,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,7100,0.1148483,1.093584,-0.981818,345.0001,36.16921,358.7454,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,7200,0.1146199,1.094498,-0.9827555,344.5316,36.28606,358.6608,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,7300,0.1149434,1.094608,-0.9825528,344.5378,36.13064,358.3956,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,7400,0.1156813,1.094209,-0.9822555,344.7665,36.14573,358.3838,0,0,0,0,0,0,0,0
AL7521,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,7500,0.1159065,1.094354,-0.98316,344.7021,36.20116,358.3385,0,0,0,0,0,0,0,0
