ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
AN7725,VR,LineChartQ1,WaitingToReadyUp,0,0.01702258,1.104161,-1.060126,341.4414,27.59815,2.198661,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,100,0.0169034,1.104288,-1.060046,341.44,27.57983,2.223717,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,200,0.01708349,1.104204,-1.060171,341.454,27.60084,2.167052,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,300,0.01709066,1.103999,-1.059888,341.5068,27.59154,2.180852,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,400,0.01686566,1.103918,-1.059574,341.5459,27.56921,2.18917,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,500,0.01702408,1.103823,-1.059253,341.6384,27.53374,2.153594,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,600,0.01750053,1.103486,-1.058834,341.7312,27.61953,2.071928,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,700,0.0188155,1.102867,-1.058574,342.1776,27.81752,1.71754,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,800,0.02142543,1.101201,-1.05874,343.5144,28.69265,0.8371199,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,900,0.0239344,1.100155,-1.058907,344.2343,29.31557,0.3266982,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,1000,0.02696394,1.099768,-1.059051,344.6006,29.76047,359.7427,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,1100,0.02968851,1.099478,-1.058885,344.7556,30.12267,359.4378,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,1200,0.03167565,1.099352,-1.058325,344.8325,30.07711,359.3444,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,WaitingToReadyUp,1300,0.03380402,1.099315,-1.057573,344.8864,30.08223,359.1979,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,1400,0.03495938,1.099343,-1.056935,344.8549,30.11233,359.1886,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,1500,0.03496821,1.098879,-1.056024,345.0166,30.02878,359.2027,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,1600,0.03413196,1.099008,-1.055377,344.9687,29.81534,359.4297,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,1700,0.03284026,1.09901,-1.054837,344.9621,29.55995,359.635,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,1800,0.03143711,1.098838,-1.054941,344.8536,29.52582,359.8261,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,1900,0.02977267,1.098885,-1.054806,344.7472,29.54075,359.9634,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,2000,0.02755322,1.098908,-1.054971,344.6415,29.38906,0.1602267,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,2100,0.0254979,1.099136,-1.055239,344.4734,29.25546,0.3373418,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,2200,0.0243524,1.09992,-1.05593,343.8831,29.46532,0.6348055,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,2300,0.02635992,1.103037,-1.059592,341.3188,32.3007,0.8375406,0,0,0,0,0,0,0,0
AN7725,VR,LineChartQ1,ReadingQuestion,2400,0.02834545,1.104553,-1.062602,340.2748,34.24199,0.5505508,0,0,0,0,0,0,0,0
