ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,0,0.1497143,1.164476,-1.035106,357.0521,29.06883,358.5477,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,100,0.1497957,1.164924,-1.034614,356.8177,29.67374,358.3295,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,200,0.1495791,1.164895,-1.033726,356.7497,30.26437,358.7077,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,300,0.1477919,1.166607,-1.033481,355.512,29.51189,359.0834,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,400,0.1470446,1.169641,-1.034347,353.5369,30.05816,358.8441,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,500,0.1464991,1.171073,-1.033918,352.584,30.51,359.2617,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,600,0.1467574,1.171604,-1.033546,352.2186,30.7247,359.1689,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,700,0.1480242,1.171499,-1.033757,352.1051,31.41311,358.75,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,800,0.1503341,1.171337,-1.029819,351.668,32.09472,357.9994,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,900,0.1527652,1.173416,-1.018668,350.5883,33.15295,356.9797,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1000,0.1553813,1.177857,-1.000147,349.7684,33.65256,356.3279,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1100,0.1574408,1.182073,-0.9757814,350.2233,33.89329,356.4758,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1200,0.1595756,1.184639,-0.944978,352.584,33.16617,357.4629,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1300,0.161563,1.185151,-0.9134251,355.8699,32.93899,358.3287,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1400,0.1626018,1.186243,-0.8857815,358.8293,33.07844,359.2716,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1500,0.1638629,1.189415,-0.8614651,359.6544,33.62593,359.4761,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1600,0.1650889,1.189387,-0.8366676,359.9039,33.96774,358.908,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1700,0.1685522,1.1904,-0.8117139,359.3305,35.64122,356.5321,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1800,0.173033,1.210068,-0.7937431,357.8668,39.60543,353.6082,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,1900,0.1715715,1.236856,-0.7794559,358.6456,38.64294,355.3621,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2000,0.1678045,1.230768,-0.7840399,7.590352,35.78434,0.665641,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2100,0.1654696,1.203931,-0.8205866,11.59776,32.40271,1.283704,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2200,0.169568,1.171209,-0.8676209,17.20249,33.34058,1.975123,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2300,0.177322,1.156516,-0.9079708,25.21746,36.61061,3.891871,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2400,0.1793997,1.150381,-0.9403771,24.42723,37.18359,3.943396,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2500,0.177973,1.143924,-0.9664091,23.81573,36.26702,4.051078,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2600,0.178019,1.141307,-0.9860758,23.0082,35.37051,3.79945,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2700,0.1772762,1.139426,-1.002238,22.72237,35.01474,3.757771,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2800,0.1741102,1.139572,-1.016261,21.6667,34.04988,2.703281,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,2900,0.1685346,1.142064,-1.025247,19.78373,34.10131,1.932501,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3000,0.1600328,1.145502,-1.028485,18.19185,33.69875,1.212709,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3100,0.1526337,1.146988,-1.029552,16.96994,33.2801,1.15196,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3200,0.1475862,1.146389,-1.03035,16.46831,32.32405,1.135433,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3300,0.1450649,1.14399,-1.032428,16.26331,32.29643,1.376144,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3400,0.1444526,1.14404,-1.034428,15.5615,32.72168,1.537217,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3500,0.1443477,1.144814,-1.036132,15.10261,32.48479,1.321866,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3600,0.1450664,1.147069,-1.0374,13.78828,32.2221,1.022278,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3700,0.1463937,1.152028,-1.038602,10.94705,31.90762,0.2164899,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3800,0.146663,1.159063,-1.040426,6.960458,32.39803,359.5527,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,3900,0.1454802,1.164174,-1.042505,3.888568,32.80762,359.1433,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4000,0.1450941,1.16523,-1.044326,3.088088,33.37177,359.1563,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4100,0.1462417,1.162946,-1.046125,4.21308,34.08442,359.529,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4200,0.1481282,1.159948,-1.046972,5.744239,34.76037,359.6094,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4300,0.1500877,1.158098,-1.046186,6.632698,35.11183,359.3095,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4400,0.1521664,1.155342,-1.044402,8.095228,35.54192,359.3839,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4500,0.1534558,1.154187,-1.042941,8.800591,35.73162,359.5186,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4600,0.1523699,1.156864,-1.043031,7.359752,35.182,359.3599,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4700,0.1493317,1.165037,-1.04472,2.644027,33.7,358.5375,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4800,0.1443751,1.170852,-1.048527,359.2295,32.19295,358.2182,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,WaitingToReadyUp,4900,0.1396305,1.171842,-1.051193,358.5657,30.90852,358.4997,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,ReadingQuestion,5000,0.1358367,1.171992,-1.052051,358.5703,30.16854,359.0675,0,0,0,0,0,0,0,0
AO0649,VR,SurfacePlotQ1,ReadingQuestion,5100,0.1332319,1.172396,-1.051787,358.4582,29.23493,359.2952,0,0,0,0,0,0,0,0
