ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Right
AO1417,VR,1,BarChartQ1,Right
AO1417,VR,1,BarChartQ1,Right
AO1417,VR,1,BarChartQ1,Right
AO1417,VR,1,BarChartQ1,Right
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Right
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,1,BarChartQ1,Front
AO1417,VR,2,BarChartQ2,Front
AO1417,VR,2,BarChartQ2,Front
AO1417,VR,2,BarChartQ2,Front
AO1417,VR,2,BarChartQ2,Right
AO1417,VR,2,BarChartQ2,Right
AO1417,VR,2,BarChartQ2,Right
AO1417,VR,2,BarChartQ2,Front
AO1417,VR,2,BarChartQ2,Front
AO1417,VR,2,BarChartQ2,Right
AO1417,VR,2,BarChartQ2,Top
AO1417,VR,2,BarChartQ2,Top
AO1417,VR,2,BarChartQ2,Right
AO1417,VR,2,BarChartQ2,Front
AO1417,VR,2,BarChartQ2,Front
AO1417,VR,3,BarChartQ3,Front
AO1417,VR,3,BarChartQ3,Front
AO1417,VR,3,BarChartQ3,Front
AO1417,VR,3,BarChartQ3,Front
AO1417,VR,3,BarChartQ3,Right
AO1417,VR,3,BarChartQ3,Right
AO1417,VR,3,BarChartQ3,Right
AO1417,VR,4,BarChartQ4,Front
AO1417,VR,4,BarChartQ4,Front
AO1417,VR,4,BarChartQ4,Front
AO1417,VR,4,BarChartQ4,Front
AO1417,VR,4,BarChartQ4,Right
AO1417,VR,4,BarChartQ4,Right
AO1417,VR,4,BarChartQ4,Front
AO1417,VR,4,BarChartQ4,Front
AO1417,VR,4,BarChartQ4,Front
AO1417,VR,4,BarChartQ4,Right
AO1417,VR,4,BarChartQ4,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Right
AO1417,VR,5,SurfacePlotQ1,Right
AO1417,VR,5,SurfacePlotQ1,Right
AO1417,VR,5,SurfacePlotQ1,Right
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Right
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,5,SurfacePlotQ1,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Front
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,6,SurfacePlotQ2,Right
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Front
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,7,SurfacePlotQ3,Right
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Front
AO1417,VR,8,LineChartQ1,Right
AO1417,VR,8,LineChartQ1,Right
AO1417,VR,8,LineChartQ1,Front
