ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,0,0.05902488,1.148764,-1.053331,354.0234,23.23363,2.981844,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,100,0.05865191,1.14862,-1.053309,354.0311,23.24359,2.992702,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,200,0.05886407,1.148515,-1.053012,354.0853,23.21041,2.990839,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,300,0.05966085,1.150208,-1.053045,352.6445,24.12939,3.180408,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,400,0.06126431,1.153236,-1.054409,349.9882,26.64945,3.798805,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,500,0.06186908,1.153824,-1.05652,349.2973,28.25483,3.779757,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,600,0.06137902,1.153594,-1.057754,349.465,28.24367,3.868215,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,700,0.06133205,1.153634,-1.057637,349.3241,27.90444,3.733164,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,800,0.06174,1.153785,-1.057325,349.3251,27.99605,3.72027,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,900,0.0626358,1.15316,-1.057198,349.5714,28.29744,3.451249,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,1000,0.06364546,1.153013,-1.057491,349.9413,28.84926,3.220839,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,1100,0.06387462,1.151949,-1.057192,350.6469,28.79062,2.924686,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,1200,0.0641872,1.151452,-1.056539,351.2845,28.51444,2.871765,0,0,0,0,0,0,0,0
AR7862,VR Monitor,ScatterplotQ1,WaitingToReadyUp,1300,0.06455757,1.150715,-1.056063,351.5565,28.26617,2.76394,0,0,0,0,0,0,0,0
