ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,0,0.06554126,1.075978,-0.9925637,358.2479,7.624436,0.5845588,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,100,0.06559566,1.07676,-0.9925269,358.2802,7.483079,0.5460679,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,200,0.06538489,1.076367,-0.9928076,357.977,7.377763,0.5899661,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,300,0.06565014,1.076971,-0.9929046,357.842,7.75577,0.616688,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,400,0.06629445,1.077021,-0.9933569,357.688,8.487684,0.368203,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,500,0.06863365,1.078012,-0.9946393,356.2119,10.73993,0.6225547,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,600,0.07314254,1.083387,-0.9995662,351.7955,16.99979,1.933736,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,700,0.07577878,1.084987,-1.007787,348.9757,22.28946,2.172886,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,800,0.07667983,1.085045,-1.012229,349.2552,24.13651,1.445183,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,900,0.07624312,1.083732,-1.011661,349.995,23.23965,0.7915843,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,1000,0.07558872,1.083005,-1.009003,350.631,22.0041,0.9976462,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,1100,0.07540845,1.082661,-1.007284,351.4209,21.24363,1.264998,0,0,0,0,0,0,0,0
AU9914,VR,SurfacePlotQ1,WaitingToReadyUp,1200,0.07585426,1.081775,-1.007122,351.7227,21.20121,1.148861,0,0,0,0,0,0,0,0
