ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Right
CA0406,VR,1,ScatterplotQ1,Right
CA0406,VR,1,ScatterplotQ1,Right
CA0406,VR,1,ScatterplotQ1,Right
CA0406,VR,1,ScatterplotQ1,Right
CA0406,VR,1,ScatterplotQ1,Right
CA0406,VR,1,ScatterplotQ1,Right
CA0406,VR,1,ScatterplotQ1,Right
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,1,ScatterplotQ1,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,2,ScatterplotQ2,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Right
CA0406,VR,3,ScatterplotQ3,Front
CA0406,VR,4,ScatterplotQ4,Front
CA0406,VR,4,ScatterplotQ4,Front
CA0406,VR,4,ScatterplotQ4,Front
CA0406,VR,4,ScatterplotQ4,Right
CA0406,VR,4,ScatterplotQ4,Right
CA0406,VR,4,ScatterplotQ4,Right
CA0406,VR,4,ScatterplotQ4,Front
CA0406,VR,4,ScatterplotQ4,Right
CA0406,VR,4,ScatterplotQ4,Right
CA0406,VR,4,ScatterplotQ4,Right
CA0406,VR,4,ScatterplotQ4,Right
CA0406,VR,4,ScatterplotQ4,Right
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,4,ScatterplotQ4,Top
CA0406,VR,5,ScatterplotQ5,Front
CA0406,VR,5,ScatterplotQ5,Front
CA0406,VR,5,ScatterplotQ5,Front
CA0406,VR,5,ScatterplotQ5,Front
CA0406,VR,5,ScatterplotQ5,Front
CA0406,VR,5,ScatterplotQ5,Front
CA0406,VR,5,ScatterplotQ5,Front
CA0406,VR,5,ScatterplotQ5,Right
CA0406,VR,5,ScatterplotQ5,Right
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Top
CA0406,VR,5,ScatterplotQ5,Right
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Top
CA0406,VR,6,LineChartQ1,Top
CA0406,VR,6,LineChartQ1,Top
CA0406,VR,6,LineChartQ1,Top
CA0406,VR,6,LineChartQ1,Top
CA0406,VR,6,LineChartQ1,Top
CA0406,VR,6,LineChartQ1,Top
CA0406,VR,6,LineChartQ1,Top
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Front
CA0406,VR,6,LineChartQ1,Right
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Right
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,7,LineChartQ2,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Right
CA0406,VR,8,LineChartQ3,Top
CA0406,VR,8,LineChartQ3,Top
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Right
CA0406,VR,8,LineChartQ3,Right
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,8,LineChartQ3,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,9,LineChartQ4,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,10,LineChartQ5,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Top
CA0406,VR,11,SurfacePlotQ1,Top
CA0406,VR,11,SurfacePlotQ1,Top
CA0406,VR,11,SurfacePlotQ1,Top
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Front
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,11,SurfacePlotQ1,Right
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Front
CA0406,VR,12,SurfacePlotQ2,Right
CA0406,VR,12,SurfacePlotQ2,Top
CA0406,VR,12,SurfacePlotQ2,Top
CA0406,VR,12,SurfacePlotQ2,Top
CA0406,VR,12,SurfacePlotQ2,Top
CA0406,VR,12,SurfacePlotQ2,Top
CA0406,VR,12,SurfacePlotQ2,Top
CA0406,VR,12,SurfacePlotQ2,Top
CA0406,VR,12,SurfacePlotQ2,Top
CA0406,VR,13,SurfacePlotQ3,Front
