ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,0,0.10308,1.204872,-0.9428098,353.4812,31.95482,0.2560554,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,100,0.102248,1.204369,-0.9428631,353.9262,31.76937,0.3369806,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,200,0.1009963,1.20426,-0.9428256,353.8982,31.4081,0.523671,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,300,0.09893496,1.203534,-0.9426686,354.5744,30.897,0.837899,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,400,0.09694353,1.200543,-0.9417669,357.0339,30.48895,1.299268,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,500,0.09573413,1.196978,-0.9405259,359.818,30.1419,1.716112,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,600,0.09453845,1.192909,-0.939319,3.057449,29.96314,2.416703,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,700,0.09341425,1.188922,-0.9375446,6.07348,29.78981,2.917965,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,800,0.09297018,1.187416,-0.9347577,6.831756,29.72437,3.147274,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,900,0.09310675,1.189438,-0.932965,5.396464,29.80071,3.232652,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,1000,0.09340939,1.195677,-0.9320064,0.7869608,29.38698,3.032414,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,1100,0.09238091,1.200047,-0.9334404,358.0465,28.83606,3.215977,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,1200,0.09128283,1.199609,-0.9349249,358.5686,28.00791,3.386621,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,1300,0.08866747,1.19956,-0.9352461,358.619,26.13816,4.005683,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,1400,0.08586553,1.200528,-0.9357723,358.3446,24.47147,4.092769,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,WaitingToReadyUp,1500,0.08470731,1.201513,-0.9366322,357.7394,24.2187,3.750618,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,1600,0.08432086,1.202286,-0.9371359,357.1219,24.5309,3.680462,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,1700,0.08348972,1.202459,-0.9376703,357.1263,24.38309,3.878717,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,1800,0.08232981,1.202716,-0.9374499,357.1239,23.53901,4.163626,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,1900,0.08199771,1.203654,-0.9377241,356.4665,23.22295,4.413579,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2000,0.08253044,1.205431,-0.9389615,355.2582,23.6735,4.458437,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2100,0.0837659,1.206872,-0.9408286,354.1917,24.72054,4.282053,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2200,0.08500926,1.207108,-0.9432753,353.8148,25.97497,3.985151,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2300,0.08592676,1.206675,-0.9448996,354.1545,26.64809,3.857786,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2400,0.08586311,1.206362,-0.9461043,354.4646,26.98008,3.957932,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2500,0.0864235,1.206144,-0.947005,354.7852,27.72301,4.265959,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2600,0.08747326,1.205187,-0.9472189,355.6167,28.62441,4.484567,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2700,0.08857001,1.204208,-0.9463712,356.2581,29.14815,4.66457,0,0,0,0,0,0,0,0
CA0406,VR,ScatterplotQ1,ReadingQuestion,2800,0.08922188,1.204243,-0.9450111,356.5759,29.14844,4.968213,0,0,0,0,0,0,0,0
