ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,0,0.001844388,1.117946,-0.9747703,348.6003,11.83569,357.3944,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,100,0.004026059,1.118989,-0.9759943,347.937,13.58735,357.522,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,200,0.006437106,1.11881,-0.9767544,347.9592,15.08204,357.4727,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,300,0.009638956,1.119344,-0.9779787,347.6317,17.08121,357.2922,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,400,0.01408217,1.120621,-0.980286,346.8341,20.31697,357.4233,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,500,0.01779378,1.122319,-0.9831851,345.7298,23.76764,358.0002,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,600,0.01936114,1.123572,-0.9855769,344.8354,25.84834,358.7817,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,700,0.01847176,1.124255,-0.9873756,344.3039,26.20368,359.1379,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,800,0.01714363,1.124064,-0.9877273,344.3955,25.85234,359.1052,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,900,0.01634674,1.123792,-0.9873555,344.5526,25.6973,359.1425,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1000,0.0160668,1.123081,-0.9866215,344.8793,25.64933,359.2047,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1100,0.01611918,1.122144,-0.9860833,345.3531,25.88864,359.2654,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1200,0.01743585,1.121276,-0.9856464,345.9379,26.56626,359.1819,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1300,0.01845719,1.121008,-0.9857341,346.0463,26.95807,359.0513,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1400,0.02027115,1.120576,-0.9866244,346.2791,27.66546,358.7169,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1500,0.02243599,1.120012,-0.9875188,346.6158,28.67512,358.4063,0,0,0,0,0,0,0,0
DA6527,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1600,0.02410895,1.119403,-0.9883909,346.8871,29.49831,358.207,0,0,0,0,0,0,0,0
