ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,0,0.05837237,1.120986,-1.011976,355.6751,24.28196,355.7074,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,100,0.05816974,1.121069,-1.012126,355.7047,24.11566,355.6685,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,200,0.05779765,1.121071,-1.01229,355.5542,23.83953,355.6232,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,300,0.0573612,1.121153,-1.012638,355.4431,23.70922,355.6602,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,400,0.05759232,1.121381,-1.012931,355.3354,24.20507,355.6693,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,500,0.05867017,1.121261,-1.013506,355.3369,25.49919,355.6837,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,600,0.06049984,1.121136,-1.014105,355.5029,26.53304,355.5257,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,700,0.06174982,1.121166,-1.014704,355.481,27.04481,355.2608,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,800,0.06232477,1.121223,-1.015088,355.407,27.31276,355.1447,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,900,0.06228974,1.121588,-1.01564,355.0389,27.49539,355.1724,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1000,0.06189697,1.122846,-1.016062,354.2546,27.56866,355.4169,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1100,0.06078489,1.12359,-1.016702,353.6646,27.25845,355.7357,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1200,0.05939056,1.124135,-1.017478,353.2764,26.72428,355.7722,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1300,0.05836943,1.124455,-1.017576,353.0328,26.1058,355.8503,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1400,0.05644029,1.12482,-1.017306,352.8315,24.68266,356.1919,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1500,0.05160634,1.125461,-1.015926,352.4895,20.91855,356.4461,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1600,0.0482942,1.125668,-1.015308,352.3137,19.25241,356.8569,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1700,0.04792136,1.125314,-1.015543,352.5329,20.14733,357.2859,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,WaitingToReadyUp,1800,0.04901576,1.125083,-1.015317,352.7265,21.12876,357.3771,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,1900,0.05061246,1.124084,-1.015495,353.4477,22.06746,357.6304,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2000,0.05357061,1.123136,-1.014572,354.1338,23.39855,357.3984,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2100,0.05312778,1.122863,-1.014494,354.3554,23.3045,357.499,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2200,0.05208284,1.123154,-1.014572,354.0967,23.03129,357.7015,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2300,0.05131606,1.123648,-1.014525,353.6828,22.74485,357.971,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2400,0.05065136,1.123942,-1.014861,353.4236,22.65474,358.1291,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2500,0.05043904,1.124105,-1.015172,353.2114,22.64328,358.1257,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2600,0.05034772,1.124104,-1.015319,353.1902,22.77016,358.2186,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2700,0.05063489,1.124066,-1.015063,353.2242,22.87143,358.2354,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2800,0.05069358,1.12408,-1.0152,353.1491,23.06233,358.1983,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,2900,0.05076192,1.124167,-1.015551,353.157,23.33072,358.1993,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3000,0.05087626,1.124258,-1.015971,353.0378,23.45085,358.1535,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3100,0.05103294,1.124465,-1.01605,352.911,23.65418,358.1198,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3200,0.05125199,1.124535,-1.016246,352.8264,23.80848,358.142,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3300,0.05123135,1.124583,-1.016269,352.6844,23.99277,358.1754,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3400,0.05142992,1.12466,-1.016577,352.6365,24.24516,358.1786,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3500,0.05184891,1.124785,-1.016869,352.5466,24.55461,358.1692,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3600,0.05255723,1.125184,-1.017251,352.2123,25.13027,358.1504,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3700,0.05387761,1.12561,-1.017983,351.9402,26.32118,358.2751,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3800,0.05571429,1.12588,-1.019155,351.5691,27.67303,358.0382,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,3900,0.05750138,1.12678,-1.020391,350.8914,29.01768,357.661,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4000,0.05917985,1.127436,-1.022097,350.2835,30.5174,357.4515,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4100,0.06039321,1.127537,-1.023151,350.0451,31.41348,357.2726,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4200,0.06074308,1.127314,-1.022828,350.1419,31.29607,357.105,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4300,0.06041025,1.127096,-1.02224,350.2672,31.00223,357.2245,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4400,0.06015928,1.126991,-1.02198,350.3649,30.8868,357.329,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4500,0.06005853,1.127229,-1.022054,350.3226,30.80189,357.3333,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4600,0.05956098,1.126966,-1.022358,350.4108,30.43278,357.3793,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4700,0.05852349,1.127009,-1.021603,350.5246,29.53213,357.4961,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4800,0.05752134,1.126716,-1.020883,350.6492,28.91534,357.7375,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,4900,0.05740378,1.126667,-1.020636,350.6453,29.11103,357.8028,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5000,0.05814981,1.1268,-1.021508,350.4187,29.71092,357.6985,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5100,0.05916325,1.127021,-1.02233,350.2981,30.5579,357.5824,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5200,0.05974405,1.126849,-1.022568,350.3617,30.49835,357.4022,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5300,0.05960567,1.126881,-1.022054,350.3692,30.45414,357.4485,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5400,0.0591085,1.126579,-1.021799,350.454,30.37374,357.5734,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5500,0.05896249,1.126574,-1.021875,350.4139,30.25456,357.6522,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5600,0.0590049,1.126614,-1.022027,350.4483,30.35235,357.6012,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5700,0.05926865,1.12658,-1.022226,350.4445,30.34392,357.5667,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5800,0.05899482,1.126629,-1.022257,350.4328,30.09071,357.5525,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,5900,0.05799715,1.126602,-1.021876,350.5689,29.52329,357.6994,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,6000,0.0564468,1.126502,-1.021076,350.7691,28.1761,357.9047,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,6100,0.05284423,1.125899,-1.019358,351.6096,24.90149,358.3673,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,6200,0.04801249,1.124988,-1.016873,352.4038,20.56255,358.0019,0,0,0,0,0,0,0,0
EA4759,VR Monitor Stereo,BarChartQ1,ReadingQuestion,6300,0.04357631,1.124714,-1.015103,352.8549,16.88402,358.2384,0,0,0,0,0,0,0,0
