ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
EA4934,VR Monitor Stereo,1,SurfacePlotQ1,Front
EA4934,VR Monitor Stereo,1,SurfacePlotQ1,Front
EA4934,VR Monitor Stereo,1,SurfacePlotQ1,Front
EA4934,VR Monitor Stereo,1,SurfacePlotQ1,Front
EA4934,VR Monitor Stereo,1,SurfacePlotQ1,Right
EA4934,VR Monitor Stereo,1,SurfacePlotQ1,Front
EA4934,VR Monitor Stereo,1,SurfacePlotQ1,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,2,SurfacePlotQ2,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Right
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Right
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Right
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Right
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Right
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Right
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Right
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Right
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,3,SurfacePlotQ3,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Front
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,4,LineChartQ1,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Right
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
EA4934,VR Monitor Stereo,5,LineChartQ2,Front
