ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
EB2765,VR,LineChartQ1,WaitingToReadyUp,0,0.1196813,1.104818,-0.9271587,357.1416,10.34129,0.5152848,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,100,0.1196656,1.104869,-0.9272748,357.1757,10.33054,0.5088026,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,200,0.1196032,1.104981,-0.9274728,357.1662,10.29656,0.5155948,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,300,0.1196261,1.105311,-0.9278651,356.964,10.50571,0.615493,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,400,0.1203835,1.105734,-0.9284901,356.5682,11.24166,0.7539,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,500,0.1209655,1.106702,-0.9294757,356.0701,12.02096,0.8461631,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,600,0.1216162,1.10714,-0.9300818,355.7972,12.70167,0.8247242,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,700,0.1218356,1.106587,-0.930672,356.1639,12.97504,0.7580792,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,800,0.1221956,1.106535,-0.9311385,356.3075,13.10148,0.5688195,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,900,0.122165,1.106294,-0.9313674,356.4172,13.14795,0.4579982,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1000,0.1222358,1.106329,-0.9314011,356.4591,13.2226,0.4463738,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1100,0.1220496,1.106045,-0.9313906,356.5299,13.24368,0.3966425,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1200,0.1221843,1.106419,-0.9312338,356.3517,13.32856,0.28977,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1300,0.1223414,1.106387,-0.9311577,356.2182,13.58533,0.386549,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1400,0.122546,1.106669,-0.9307675,356.0262,13.8815,0.4786667,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1500,0.1227403,1.106679,-0.9304476,355.9823,14.0952,0.609728,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1600,0.1227443,1.106441,-0.9300084,356.015,13.96282,0.6270187,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1700,0.1227337,1.106519,-0.9296565,355.9768,13.94985,0.6679126,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,WaitingToReadyUp,1800,0.1228559,1.106715,-0.9296226,355.9699,13.88767,0.6522124,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,1900,0.1228291,1.106518,-0.9295572,355.9979,13.80132,0.646333,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2000,0.1228465,1.106456,-0.929445,355.987,13.74832,0.6315438,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2100,0.1230572,1.106314,-0.9291309,356.0214,13.70515,0.6685315,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2200,0.1228487,1.106196,-0.9286907,355.9905,13.70025,0.6997806,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2300,0.1228357,1.106168,-0.9282474,356.0562,13.58221,0.7776334,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2400,0.1227971,1.106229,-0.9279606,356.1031,13.52428,0.8469879,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2500,0.1229885,1.106329,-0.9278667,356.0269,13.56688,0.7334729,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2600,0.1243915,1.106811,-0.9288012,355.8744,14.4406,0.4629843,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2700,0.1286206,1.108124,-0.9314194,355.1765,17.52,0.138163,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2800,0.1346363,1.109828,-0.9349882,354.0601,22.19262,359.2022,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,2900,0.1410725,1.11171,-0.9389344,352.8004,27.35149,358.4371,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3000,0.1449189,1.113881,-0.9424073,351.4154,30.87239,358.1393,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3100,0.1460215,1.115876,-0.944809,350.3678,32.25488,358.1528,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3200,0.1451643,1.117153,-0.9452231,349.6205,32.17002,358.5092,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3300,0.1438659,1.117436,-0.9451041,349.4997,31.82303,358.6116,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3400,0.1424688,1.117595,-0.9444609,349.433,31.19763,359.1059,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3500,0.1404471,1.118384,-0.9436745,348.9154,30.61096,359.4789,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3600,0.1397531,1.118797,-0.9430615,348.652,30.50616,359.3917,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3700,0.1397053,1.118594,-0.9421746,348.7072,30.55391,359.4209,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3800,0.1392909,1.118735,-0.9417087,348.7065,30.46986,359.4653,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,3900,0.1389613,1.118219,-0.9412309,348.8246,30.29216,359.5428,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4000,0.138244,1.117587,-0.940256,349.185,29.45251,359.7197,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4100,0.1374437,1.117371,-0.9385146,349.3032,28.83124,359.8891,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4200,0.1367463,1.117276,-0.9376699,349.3928,28.50356,0.08042674,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4300,0.1362709,1.117122,-0.9370962,349.382,28.38409,0.1568759,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4400,0.136623,1.116808,-0.9365,349.5133,28.40573,359.9908,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4500,0.1371423,1.11642,-0.9362141,349.5586,28.44145,359.7971,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4600,0.1374942,1.116336,-0.9356173,349.5265,28.4799,359.7544,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4700,0.1377507,1.116211,-0.9349183,349.5556,28.37626,359.6794,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4800,0.1375623,1.116201,-0.9346769,349.5604,28.4142,359.6569,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,4900,0.1378378,1.116031,-0.9345338,349.5084,28.47594,359.5186,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,5000,0.1381363,1.116086,-0.9346794,349.4779,28.62666,359.4173,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,5100,0.1381553,1.115904,-0.9346038,349.5037,28.72949,359.3988,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,5200,0.1383004,1.115883,-0.9346648,349.4545,28.8975,359.4465,0,0,0,0,0,0,0,0
EB2765,VR,LineChartQ1,ReadingQuestion,5300,0.1384193,1.11571,-0.9342502,349.5836,29.03931,359.4311,0,0,0,0,0,0,0,0
