ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
EE4432,VR,LineChartQ1,ReadingQuestion,0,0.0243656,1.182946,-0.8500502,352.7136,39.42667,355.4052,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,100,0.02305253,1.183112,-0.8492772,352.7126,39.55041,355.4729,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,200,0.01913172,1.183914,-0.8486053,352.4391,38.42319,355.4917,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,300,0.01139401,1.190449,-0.8510205,348.4545,34.71389,355.2053,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,400,0.003704658,1.197492,-0.8567507,343.6087,31.79586,355.317,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,500,-0.002344852,1.202076,-0.8619187,339.2702,30.70163,355.6911,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,600,-0.004812146,1.202669,-0.8648699,338.4311,30.96428,355.2751,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,700,-0.004495557,1.202577,-0.8657178,337.8841,33.91274,354.8092,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,800,-0.005392313,1.202981,-0.8655474,337.4752,36.70861,355.4225,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,900,-0.005086996,1.202712,-0.8651428,337.8037,38.38199,355.588,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,1000,-0.003251975,1.202145,-0.864079,338.3244,39.65245,355.9994,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,1100,-0.002263081,1.202404,-0.8619384,338.3581,39.27309,356.6617,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,1200,-0.001063764,1.202673,-0.8604416,338.0972,38.90125,356.8582,0,0,0,0,0,0,0,0
EE4432,VR,LineChartQ1,ReadingQuestion,1300,-0.000854237,1.203003,-0.8594565,337.8668,38.528,357.1115,0,0,0,0,0,0,0,0
