ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,0,0.1265709,1.188381,-0.8593656,344.7389,36.53337,3.470675,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,100,0.1237337,1.184816,-0.8570919,347.6311,34.18074,3.492651,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,200,0.1222174,1.185972,-0.8563671,346.7481,33.6605,3.917331,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,300,0.12239,1.187382,-0.8575277,345.9593,34.33642,3.816597,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,400,0.1240195,1.186962,-0.8577255,346.2028,34.79256,3.506159,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,500,0.1263761,1.181167,-0.8566276,350.5257,34.59997,2.693826,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,600,0.1292639,1.178707,-0.8553112,352.2581,34.19112,2.435518,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,700,0.1304502,1.179905,-0.8563047,351.6755,34.71833,2.282681,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,800,0.1307928,1.179354,-0.8555791,352.0395,34.73722,2.270557,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,900,0.131746,1.177898,-0.8540376,352.908,35.18504,2.571423,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1000,0.1334373,1.177374,-0.8525489,353.2454,35.68737,2.581533,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1100,0.134516,1.176787,-0.851624,353.491,35.87767,2.794225,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1200,0.1351272,1.176392,-0.8509806,353.716,35.83165,2.812172,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1300,0.1353846,1.176228,-0.8508953,353.8293,35.92846,2.834722,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1400,0.135518,1.176327,-0.8506643,353.8688,36.09114,3.029333,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1500,0.1356556,1.175962,-0.8503482,354.1077,36.17622,3.316746,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1600,0.135766,1.175549,-0.8497239,354.2784,36.27338,3.439888,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1700,0.1356987,1.175369,-0.8489714,354.2657,36.10778,3.453162,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1800,0.1351911,1.175691,-0.8488469,354.2639,36.03638,3.583634,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,1900,0.1353567,1.175696,-0.849035,354.2377,36.01055,3.597536,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2000,0.1356231,1.175902,-0.849377,354.1205,36.1368,3.496866,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2100,0.135824,1.176025,-0.8497024,354.0653,36.21957,3.474155,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2200,0.1361878,1.176155,-0.8501291,353.9604,36.5414,3.49133,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2300,0.1365146,1.176143,-0.8504854,353.949,36.86393,3.458262,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2400,0.1373639,1.176476,-0.8508571,353.7636,37.52814,3.488241,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2500,0.1377949,1.177266,-0.8515085,353.2876,38.09222,3.805542,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2600,0.1373979,1.177521,-0.8521032,353.1056,38.05538,3.752926,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2700,0.1376932,1.177402,-0.8524892,353.1124,38.12566,3.692662,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2800,0.1379989,1.177759,-0.8528312,352.9451,38.38668,3.688114,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,2900,0.1387619,1.17908,-0.8543357,351.8497,39.69365,3.867021,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3000,0.1384646,1.179715,-0.8548588,351.5645,39.62161,3.799782,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3100,0.1382557,1.179407,-0.8545881,351.6968,39.29814,3.839362,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3200,0.138329,1.179375,-0.854334,351.7467,39.27742,3.9204,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3300,0.1381773,1.179337,-0.8543285,351.7948,39.24113,3.929703,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3400,0.1382079,1.179531,-0.8544735,351.6871,39.33112,3.86243,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3500,0.1382207,1.179768,-0.8547395,351.5881,39.42426,3.866557,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3600,0.1383,1.179978,-0.8551519,351.4646,39.70177,3.960971,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3700,0.1376535,1.180118,-0.855199,351.3029,39.41765,3.960874,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3800,0.1378012,1.180634,-0.8554479,351.0807,39.59478,4.007794,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,3900,0.1380666,1.181253,-0.8561026,350.6486,39.843,3.650734,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,4000,0.1370101,1.187154,-0.8590546,346.5909,39.74597,2.626075,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,4100,0.1331561,1.192772,-0.8646326,342.8114,39.78052,2.274038,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,4200,0.1306055,1.192986,-0.8674336,342.7087,39.2653,2.255992,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,WaitingToReadyUp,4300,0.1302437,1.192735,-0.8686238,342.856,38.98549,2.349545,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,4400,0.1301067,1.19341,-0.86971,342.6415,39.22106,2.118529,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,4500,0.1303562,1.193566,-0.8694634,342.6035,39.17964,2.113445,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,4600,0.1301712,1.193042,-0.868484,342.7452,38.8269,2.222675,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,4700,0.1294959,1.193021,-0.8674525,342.6585,38.37929,2.364786,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,4800,0.1281672,1.193735,-0.8668838,342.1886,37.80112,2.508194,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,4900,0.1276477,1.19422,-0.8675718,341.7203,37.84008,2.361138,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5000,0.1267474,1.194403,-0.867746,341.5716,37.73912,2.612471,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5100,0.1260328,1.194301,-0.8673532,341.4899,37.45031,2.752482,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5200,0.1250954,1.193949,-0.866394,341.5898,36.98287,2.962455,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5300,0.1240354,1.193597,-0.8654624,341.7351,36.60182,3.240481,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5400,0.1243562,1.193098,-0.8647504,341.8874,36.76594,3.272721,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5500,0.1252689,1.192866,-0.8645047,342.0173,37.15783,3.121368,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5600,0.1257061,1.192632,-0.8643143,342.1239,37.47882,3.188429,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5700,0.1256669,1.192253,-0.8636643,342.2566,37.36596,3.317596,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5800,0.1263551,1.192473,-0.8635994,342.3048,37.65757,3.255057,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,5900,0.1276279,1.191979,-0.8638468,342.6326,38.01281,2.994279,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,6000,0.1289361,1.191795,-0.8646854,342.7906,38.43097,2.746061,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,6100,0.1288671,1.192083,-0.8650432,342.6744,38.44267,2.749326,0,0,0,0,0,0,0,0
EI3019,VR,SurfacePlotQ1,ReadingQuestion,6200,0.1287376,1.192067,-0.864936,342.6331,38.43857,2.760664,0,0,0,0,0,0,0,0
