ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,0,0.07492843,1.13513,-0.910726,348.6044,28.22916,5.237368,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,100,0.07465049,1.135334,-0.9100497,348.1255,27.92796,5.699848,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,200,0.07512359,1.135164,-0.9100147,347.9788,28.08383,5.730003,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,300,0.07603408,1.135462,-0.910193,347.7139,28.3016,5.631211,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,400,0.07693738,1.13494,-0.9101461,348.0275,28.58901,5.287817,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,500,0.07906479,1.132166,-0.9092357,350.0445,29.35048,4.547781,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,600,0.08120944,1.128944,-0.9080542,352.3595,30.86957,4.494122,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,700,0.08389154,1.125301,-0.9063793,354.7638,32.46963,4.045323,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,800,0.08806454,1.121382,-0.90544,357.3806,35.0378,3.518167,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,900,0.09278066,1.118476,-0.9058557,359.1175,38.4966,3.146644,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1000,0.09557976,1.117582,-0.906947,359.5226,40.8532,2.921511,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1100,0.09488545,1.118605,-0.9071466,358.8282,41.03444,2.99176,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1200,0.09159256,1.121894,-0.9074707,356.8287,39.47835,3.340733,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1300,0.08624338,1.12849,-0.9088833,352.8452,36.96091,4.114681,0,0,0,0,0,0,0,0
EM8130,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1400,0.07853902,1.134178,-0.9106698,348.8701,32.90071,6.269299,0,0,0,0,0,0,0,0
