ParticipantId,Condition,TrialNumber,TrialName,TimeToReadQuestion,TimeToBeginInput,UserInput
EN3309,VR,1,BarChartQ1,7585.2841,27186.1229,in 2010 north had the most
EN3309,VR,2,BarChartQ2,5965.1126,42958.6509,remains stable
EN3309,VR,3,BarChartQ3,4467.6041,16654.1696,north
EN3309,VR,4,BarChartQ4,2859.8801,7059.6803,west
EN3309,VR,5,LineChartQ1,4815.1877,15068.4234,two
EN3309,VR,6,LineChartQ2,6545.5945,15626.9429,three
EN3309,VR,7,LineChartQ3,4970.759,8555.7214,one
EN3309,VR,8,LineChartQ4,3607.9014,10733.9462,two
EN3309,VR,9,LineChartQ5,8924.2453,19770.4114,one
EN3309,VR,10,SurfacePlotQ1,4412.7592,26282.0681,100
EN3309,VR,11,SurfacePlotQ2,6444.8533,21166.7078,100
EN3309,VR,12,SurfacePlotQ3,7337.9821,15570.0757,10
EN3309,VR,13,ScatterplotQ1,7461.6291,33520.7952,0
EN3309,VR,14,ScatterplotQ2,3094.7553,8333.3088,80
EN3309,VR,15,ScatterplotQ3,8734.7647,28717.0897,positive
EN3309,VR,16,ScatterplotQ4,7763.3399,10678.5777,increasing
EN3309,VR,17,ScatterplotQ5,7595.3045,39730.8598,wait overtime and lower IED attacks
