ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Front
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,1,SurfacePlotQ1,Right
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Front
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,2,SurfacePlotQ2,Right
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Front
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,3,SurfacePlotQ3,Right
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Right
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,4,ScatterplotQ1,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,5,ScatterplotQ2,Front
EN5709,VR,6,ScatterplotQ3,Front
EN5709,VR,6,ScatterplotQ3,Front
EN5709,VR,6,ScatterplotQ3,Front
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
EN5709,VR,6,ScatterplotQ3,Right
