ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,0,0.03198476,1.136853,-1.134529,342.7446,34.5363,359.6183,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,100,0.03141522,1.136834,-1.13361,342.7542,34.43455,359.8525,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,200,0.03129832,1.136804,-1.133556,342.6985,34.29888,359.9297,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,300,0.03151603,1.137321,-1.134505,342.4787,34.38972,359.747,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,400,0.03203652,1.137523,-1.135504,342.3068,34.5186,359.5074,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,500,0.0323377,1.137519,-1.136297,342.2388,34.62849,359.3595,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,600,0.03233629,1.137707,-1.136426,342.1308,34.61052,359.3618,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,700,0.03248534,1.137366,-1.135657,342.3474,34.64089,359.4718,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,800,0.03196016,1.137166,-1.134856,342.5699,34.4866,359.5604,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,900,0.03147492,1.137015,-1.134327,342.8865,34.28257,359.8867,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1000,0.03170837,1.13631,-1.134303,343.296,34.46651,0.03738927,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1100,0.03206035,1.136428,-1.134552,343.4049,34.76884,359.9432,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1200,0.03241044,1.136266,-1.134493,343.48,34.78701,359.8248,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1300,0.0327401,1.136079,-1.13364,343.5913,34.51353,359.4343,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1400,0.03241149,1.135451,-1.13268,344.09,34.04417,359.6137,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1500,0.0321419,1.135127,-1.131924,344.2436,33.78929,359.5132,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1600,0.03199327,1.135355,-1.131406,344.1254,33.61639,359.4465,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1700,0.03221038,1.134531,-1.131409,344.6714,33.35951,359.5526,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1800,0.032508,1.134387,-1.131841,344.9016,33.10376,359.4232,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,1900,0.03237996,1.134709,-1.132439,344.6792,32.19263,359.0991,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2000,0.02790104,1.132738,-1.131517,346.2497,25.77549,358.5881,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2100,0.0187266,1.130999,-1.129627,347.865,13.71901,357.2439,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2200,0.006510276,1.12986,-1.12771,349.2452,0.4416364,358.4165,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2300,-0.006309155,1.130244,-1.125887,349.9263,348.8884,359.4119,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2400,-0.01312462,1.133238,-1.126204,348.6856,342.2561,0.323689,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2500,-0.01159858,1.133918,-1.127427,348.5401,342.7172,359.5292,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2600,-0.0073191,1.132437,-1.13072,350.1324,344.2432,357.881,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2700,-0.002651308,1.12827,-1.133675,354.4133,348.661,358.0873,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2800,0.002676882,1.124975,-1.13492,357.468,353.9732,358.8463,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,2900,0.005894799,1.124328,-1.134428,358.3641,357.7144,359.4688,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,3000,0.006153911,1.123983,-1.133042,359.2867,358.755,359.6833,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,3100,0.004592057,1.123036,-1.131637,359.3792,358.011,359.537,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,3200,0.001957174,1.12322,-1.131382,359.112,356.7654,359.9463,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,3300,0.0001289286,1.123037,-1.131231,359.0809,356.2281,0.1081467,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,3400,-0.000736285,1.122374,-1.130587,359.4759,356.5204,0.180522,0,0,0,0,0,0,0,0
EN5709,VR,SurfacePlotQ1,WaitingToReadyUp,3500,-0.001924463,1.122255,-1.129902,359.6793,356.6702,0.4241726,0,0,0,0,0,0,0,0
