ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,1,ScatterplotQ1,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,2,ScatterplotQ2,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,3,ScatterplotQ3,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,4,ScatterplotQ4,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,5,ScatterplotQ5,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,6,SurfacePlotQ1,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Right
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,7,SurfacePlotQ2,Front
EO9447,VR Monitor,8,SurfacePlotQ3,Front
EO9447,VR Monitor,8,SurfacePlotQ3,Front
EO9447,VR Monitor,8,SurfacePlotQ3,Front
EO9447,VR Monitor,8,SurfacePlotQ3,Front
EO9447,VR Monitor,8,SurfacePlotQ3,Front
EO9447,VR Monitor,8,SurfacePlotQ3,Front
EO9447,VR Monitor,8,SurfacePlotQ3,Front
EO9447,VR Monitor,9,LineChartQ1,Front
EO9447,VR Monitor,9,LineChartQ1,Front
EO9447,VR Monitor,9,LineChartQ1,Front
EO9447,VR Monitor,9,LineChartQ1,Front
EO9447,VR Monitor,9,LineChartQ1,Front
EO9447,VR Monitor,9,LineChartQ1,Front
