ParticipantId,Condition,TrialNumber,TrialName,TimeToReadQuestion,TimeToBeginInput,UserInput
EO9447,VR Monitor,1,ScatterplotQ1,24295.9852,42400.4287,High income 
EO9447,VR Monitor,2,ScatterplotQ2,7864.5317,20910.385,Low income 
EO9447,VR Monitor,3,ScatterplotQ3,17794.2986,29578.0784,no relationship
EO9447,VR Monitor,4,ScatterplotQ4,8142.8567,22440.0322,remains stable 
EO9447,VR Monitor,5,ScatterplotQ5,10265.8492,35788.1836,less taxes and higher inflation 
EO9447,VR Monitor,6,SurfacePlotQ1,3675.6918,23120.9758,80 
EO9447,VR Monitor,7,SurfacePlotQ2,9997.6631,108525.4247,it brings more people to the church 
EO9447,VR Monitor,8,SurfacePlotQ3,51279.9484,58530.8008,It shows how the police system works and how good it is
EO9447,VR Monitor,9,LineChartQ1,1622.9757,42970.011,1 and 2 
EO9447,VR Monitor,10,LineChartQ2,6466.9075,32369.6943,6 
EO9447,VR Monitor,11,LineChartQ3,5149.0617,34056.8688,3
EO9447,VR Monitor,12,LineChartQ4,6366.9274,10399.077,2
EO9447,VR Monitor,13,LineChartQ5,11751.1426,33408.8868,2
EO9447,VR Monitor,14,BarChartQ1,5328.9455,30783.8661,North had the most in 2010 
EO9447,VR Monitor,15,BarChartQ2,3562.6815,15649.0818,stayed stable
EO9447,VR Monitor,16,BarChartQ3,6020.7048,15525.711,North 
EO9447,VR Monitor,17,BarChartQ4,4170.4842,8903.0748,west
