ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Right
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,1,BarChartQ1,Front
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Right
ER2155,VR,2,BarChartQ2,Front
ER2155,VR,3,BarChartQ3,Front
ER2155,VR,3,BarChartQ3,Front
ER2155,VR,3,BarChartQ3,Front
ER2155,VR,3,BarChartQ3,Front
ER2155,VR,3,BarChartQ3,Front
ER2155,VR,3,BarChartQ3,Front
ER2155,VR,3,BarChartQ3,Front
ER2155,VR,3,BarChartQ3,Right
ER2155,VR,3,BarChartQ3,Right
ER2155,VR,3,BarChartQ3,Front
ER2155,VR,4,BarChartQ4,Front
ER2155,VR,4,BarChartQ4,Front
ER2155,VR,4,BarChartQ4,Front
ER2155,VR,4,BarChartQ4,Right
ER2155,VR,4,BarChartQ4,Right
ER2155,VR,4,BarChartQ4,Right
ER2155,VR,4,BarChartQ4,Right
ER2155,VR,4,BarChartQ4,Front
ER2155,VR,4,BarChartQ4,Front
ER2155,VR,4,BarChartQ4,Front
ER2155,VR,4,BarChartQ4,Front
ER2155,VR,4,BarChartQ4,Front
ER2155,VR,4,BarChartQ4,Right
ER2155,VR,4,BarChartQ4,Right
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Front
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
ER2155,VR,5,SurfacePlotQ1,Right
