ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Right
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Right
HA3649,VR Monitor,1,ScatterplotQ1,Right
HA3649,VR Monitor,1,ScatterplotQ1,Back
HA3649,VR Monitor,1,ScatterplotQ1,Top
HA3649,VR Monitor,1,ScatterplotQ1,Left
HA3649,VR Monitor,1,ScatterplotQ1,Top
HA3649,VR Monitor,1,ScatterplotQ1,Top
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
HA3649,VR Monitor,1,ScatterplotQ1,Front
