ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,1,ScatterplotQ1,Front
HC1197,VR Monitor,2,ScatterplotQ2,Front
HC1197,VR Monitor,2,ScatterplotQ2,Front
HC1197,VR Monitor,2,ScatterplotQ2,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,3,ScatterplotQ3,Front
HC1197,VR Monitor,4,ScatterplotQ4,Front
HC1197,VR Monitor,4,ScatterplotQ4,Front
HC1197,VR Monitor,4,ScatterplotQ4,Front
HC1197,VR Monitor,4,ScatterplotQ4,Front
HC1197,VR Monitor,4,ScatterplotQ4,Front
HC1197,VR Monitor,4,ScatterplotQ4,Front
HC1197,VR Monitor,5,ScatterplotQ5,Front
HC1197,VR Monitor,5,ScatterplotQ5,Front
HC1197,VR Monitor,5,ScatterplotQ5,Front
HC1197,VR Monitor,5,ScatterplotQ5,Front
HC1197,VR Monitor,5,ScatterplotQ5,Front
HC1197,VR Monitor,5,ScatterplotQ5,Front
HC1197,VR Monitor,5,ScatterplotQ5,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,6,SurfacePlotQ1,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,7,SurfacePlotQ2,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,8,SurfacePlotQ3,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,9,LineChartQ1,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
HC1197,VR Monitor,10,LineChartQ2,Front
