ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,0,0.04447991,1.08996,-1.20758,355.439,23.10268,1.686575,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,100,0.04438104,1.090261,-1.207793,355.2955,23.09243,1.680955,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,200,0.04426067,1.090842,-1.207891,355.0016,23.07511,1.744025,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,300,0.04379119,1.092028,-1.20781,354.1538,22.89873,1.864498,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,400,0.04265678,1.092032,-1.209107,353.8717,22.45809,2.317726,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,500,0.04148447,1.08932,-1.212458,354.9087,21.74659,2.967818,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,600,0.04026411,1.085813,-1.216831,356.4415,21.40273,2.966489,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,700,0.04031815,1.083,-1.220924,357.6428,22.05573,2.725327,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,800,0.03934906,1.079775,-1.225464,358.9489,22.78253,2.475181,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,900,0.03819472,1.074929,-1.230031,0.5944705,23.13053,2.4314,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1000,0.0374227,1.071155,-1.233794,2.161455,23.30294,2.561045,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1100,0.03684597,1.072028,-1.235476,1.53296,23.11182,2.565274,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1200,0.0366662,1.073732,-1.236249,0.2228949,22.57953,2.422486,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1300,0.0362668,1.07771,-1.236104,358.4022,21.43219,2.421406,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1400,0.03444446,1.080837,-1.233829,356.7023,18.84948,2.341342,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1500,0.03205089,1.083174,-1.230491,355.7624,15.7998,3.109949,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1600,0.02998003,1.085554,-1.227143,354.9194,13.51623,3.360406,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1700,0.02820469,1.087018,-1.224595,354.241,11.8913,2.929539,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1800,0.02698604,1.087427,-1.223629,354.0173,10.89792,2.302122,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,1900,0.02655511,1.089051,-1.223521,353.2212,10.77079,2.22451,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,2000,0.0273758,1.091863,-1.22354,351.8552,11.82543,2.501508,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,2100,0.02949875,1.093221,-1.223602,351.084,13.47168,2.611773,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,2200,0.03202847,1.093135,-1.223746,350.9629,15.12033,2.263655,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,2300,0.03390532,1.092602,-1.224128,351.3734,16.34803,1.996393,0,0,0,0,0,0,0,0
HC1197,VR Monitor,ScatterplotQ1,ReadingQuestion,2400,0.03542234,1.09242,-1.223918,351.5237,17.24657,1.744771,0,0,0,0,0,0,0,0
