ParticipantId,Condition,TrialNumber,TrialName,TimeToReadQuestion,TimeToBeginInput,UserInput
HC1197,VR Monitor,1,ScatterplotQ1,14990.6404,44119.6386,blue, high income
HC1197,VR Monitor,2,ScatterplotQ2,6914.6014,10354.9555,red
HC1197,VR Monitor,3,ScatterplotQ3,10734.4615,51068.1762,no relationship
HC1197,VR Monitor,4,ScatterplotQ4,11841.0175,17949.7728,increasing
HC1197,VR Monitor,5,ScatterplotQ5,12544.6071,18978.5024,high income
HC1197,VR Monitor,6,SurfacePlotQ1,4010.8276,39150.8725,98
HC1197,VR Monitor,7,SurfacePlotQ2,16229.8597,54709.5217,50
HC1197,VR Monitor,8,SurfacePlotQ3,10824.1863,26561.8417,50
HC1197,VR Monitor,9,LineChartQ1,5685.3707,59524.1668,neighborhood 2
HC1197,VR Monitor,10,LineChartQ2,7696.5326,87112.8112,6
HC1197,VR Monitor,11,LineChartQ3,6031.43,46321.2895,neighborhood 1
HC1197,VR Monitor,12,LineChartQ4,5250.0491,12164.666,neighborhood 2
HC1197,VR Monitor,13,LineChartQ5,18597.995,44019.9156,Neighborhood 2
HC1197,VR Monitor,14,BarChartQ1,7952.8517,45036.7275,2010
HC1197,VR Monitor,15,BarChartQ2,7015.3471,34100.8099,remained stable
HC1197,VR Monitor,16,BarChartQ3,7204.8522,33486.9325,south
HC1197,VR Monitor,17,BarChartQ4,3909.6013,15905.2122,west
