ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,1,ScatterplotQ1,Front
HH7776,VR Monitor,2,ScatterplotQ2,Front
HH7776,VR Monitor,2,ScatterplotQ2,Front
HH7776,VR Monitor,2,ScatterplotQ2,Front
HH7776,VR Monitor,2,ScatterplotQ2,Front
HH7776,VR Monitor,2,ScatterplotQ2,Front
HH7776,VR Monitor,2,ScatterplotQ2,Front
HH7776,VR Monitor,2,ScatterplotQ2,Front
HH7776,VR Monitor,2,ScatterplotQ2,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
HH7776,VR Monitor,3,ScatterplotQ3,Front
