ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Right
HU2032,VR Monitor,1,BarChartQ1,Right
HU2032,VR Monitor,1,BarChartQ1,Right
HU2032,VR Monitor,1,BarChartQ1,Right
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Top
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Front
HU2032,VR Monitor,1,BarChartQ1,Right
HU2032,VR Monitor,1,BarChartQ1,Right
HU2032,VR Monitor,1,BarChartQ1,Right
HU2032,VR Monitor,2,BarChartQ2,Front
HU2032,VR Monitor,2,BarChartQ2,Front
HU2032,VR Monitor,2,BarChartQ2,Front
HU2032,VR Monitor,2,BarChartQ2,Front
HU2032,VR Monitor,2,BarChartQ2,Right
HU2032,VR Monitor,2,BarChartQ2,Right
HU2032,VR Monitor,2,BarChartQ2,Top
HU2032,VR Monitor,2,BarChartQ2,Right
HU2032,VR Monitor,2,BarChartQ2,Front
HU2032,VR Monitor,2,BarChartQ2,Front
HU2032,VR Monitor,2,BarChartQ2,Top
HU2032,VR Monitor,2,BarChartQ2,Top
HU2032,VR Monitor,2,BarChartQ2,Top
HU2032,VR Monitor,2,BarChartQ2,Top
HU2032,VR Monitor,2,BarChartQ2,Right
HU2032,VR Monitor,2,BarChartQ2,Right
HU2032,VR Monitor,2,BarChartQ2,Front
HU2032,VR Monitor,2,BarChartQ2,Front
HU2032,VR Monitor,2,BarChartQ2,Left
HU2032,VR Monitor,2,BarChartQ2,Top
HU2032,VR Monitor,2,BarChartQ2,Top
HU2032,VR Monitor,2,BarChartQ2,Top
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Right
HU2032,VR Monitor,3,BarChartQ3,Right
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Right
HU2032,VR Monitor,3,BarChartQ3,Right
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,3,BarChartQ3,Front
HU2032,VR Monitor,4,BarChartQ4,Front
HU2032,VR Monitor,4,BarChartQ4,Right
HU2032,VR Monitor,4,BarChartQ4,Right
HU2032,VR Monitor,4,BarChartQ4,Right
HU2032,VR Monitor,4,BarChartQ4,Right
HU2032,VR Monitor,4,BarChartQ4,Front
HU2032,VR Monitor,4,BarChartQ4,Front
HU2032,VR Monitor,4,BarChartQ4,Top
HU2032,VR Monitor,4,BarChartQ4,Right
HU2032,VR Monitor,4,BarChartQ4,Right
HU2032,VR Monitor,5,ScatterplotQ1,Front
HU2032,VR Monitor,5,ScatterplotQ1,Front
HU2032,VR Monitor,5,ScatterplotQ1,Bottom
HU2032,VR Monitor,5,ScatterplotQ1,Bottom
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Top
HU2032,VR Monitor,5,ScatterplotQ1,Top
HU2032,VR Monitor,5,ScatterplotQ1,Top
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Top
HU2032,VR Monitor,5,ScatterplotQ1,Top
HU2032,VR Monitor,5,ScatterplotQ1,Top
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,5,ScatterplotQ1,Right
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Bottom
HU2032,VR Monitor,6,ScatterplotQ2,Right
HU2032,VR Monitor,6,ScatterplotQ2,Right
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Bottom
HU2032,VR Monitor,6,ScatterplotQ2,Bottom
HU2032,VR Monitor,6,ScatterplotQ2,Bottom
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Right
HU2032,VR Monitor,6,ScatterplotQ2,Right
HU2032,VR Monitor,6,ScatterplotQ2,Bottom
HU2032,VR Monitor,6,ScatterplotQ2,Bottom
HU2032,VR Monitor,6,ScatterplotQ2,Bottom
HU2032,VR Monitor,6,ScatterplotQ2,Left
HU2032,VR Monitor,6,ScatterplotQ2,Left
HU2032,VR Monitor,6,ScatterplotQ2,Left
HU2032,VR Monitor,6,ScatterplotQ2,Top
HU2032,VR Monitor,6,ScatterplotQ2,Top
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Top
HU2032,VR Monitor,6,ScatterplotQ2,Right
HU2032,VR Monitor,6,ScatterplotQ2,Right
HU2032,VR Monitor,6,ScatterplotQ2,Right
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,6,ScatterplotQ2,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
HU2032,VR Monitor,7,ScatterplotQ3,Front
