ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,0,0.1149955,1.026227,-0.9637343,345.9013,28.24699,358.1846,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,100,0.1137399,1.026269,-0.9634029,345.7393,27.69901,358.4527,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,200,0.112501,1.026418,-0.9629561,345.6539,27.09358,358.7708,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,300,0.1113382,1.027149,-0.9632704,345.0999,26.56974,359.051,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,400,0.1098389,1.028131,-0.9644032,344.4387,26.24146,359.1843,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,500,0.1087343,1.028858,-0.9654945,343.9296,26.12439,359.2957,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,600,0.1082753,1.029212,-0.9664735,343.5657,26.17482,359.2202,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,700,0.1080871,1.029687,-0.9669768,343.3867,26.13739,359.3058,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,800,0.1078589,1.029815,-0.9672611,343.2181,26.0313,359.3177,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,900,0.1079136,1.02984,-0.9671069,343.163,26.00329,359.3117,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,1000,0.1077855,1.029757,-0.9671392,343.177,25.96734,359.3759,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,1100,0.1078053,1.029818,-0.9668871,343.0731,25.9199,359.3573,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,1200,0.1076193,1.029686,-0.9666977,343.0775,25.84885,359.4427,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,1300,0.1077836,1.029475,-0.9664779,343.1422,25.8944,359.4647,0,0,0,0,0,0,0,0
HU2032,VR Monitor,BarChartQ1,WaitingToReadyUp,1400,0.1080065,1.028991,-0.9659007,343.2719,25.87148,359.5154,0,0,0,0,0,0,0,0
