ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,0,0.1043961,1.158641,-0.9393387,346.9937,30.86633,357.9567,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,100,0.1033668,1.158466,-0.9383426,347.1395,30.49079,358.102,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,200,0.1025119,1.158566,-0.9375439,347.0127,29.97889,358.2907,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,300,0.09996787,1.160419,-0.9375829,345.2402,28.33907,358.86,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,400,0.09315056,1.162505,-0.9364783,343.5686,23.89526,1.035768,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,500,0.0834188,1.162185,-0.9342023,343.5467,16.3695,1.911606,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,600,0.07383432,1.163297,-0.9321629,343.4096,8.844286,2.473207,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,700,0.07075161,1.164769,-0.9313077,342.4019,7.018012,2.682435,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,800,0.07465921,1.165318,-0.9301296,341.8563,10.88901,2.412047,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,900,0.07887012,1.165084,-0.9285121,341.6762,14.83315,1.212597,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1000,0.08665249,1.164797,-0.9252325,342.5986,20.82985,359.0784,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1100,0.09551512,1.162127,-0.9206887,344.9361,27.84786,357.2936,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1200,0.1031293,1.157358,-0.918305,346.537,34.00164,356.4916,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1300,0.109845,1.155899,-0.9187601,347.9785,38.39926,356.5249,0,0,0,0,0,0,0,0
HY4562,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1400,0.1136288,1.15509,-0.9196939,348.3772,40.11763,355.8307,0,0,0,0,0,0,0,0
