ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Right
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,1,ScatterplotQ1,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Right
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Right
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
IA2513,VR Monitor Stereo,2,ScatterplotQ2,Front
