ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,0,0.03109262,1.115005,-1.137808,349.6066,5.714381,355.3029,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,100,0.03092807,1.11524,-1.138687,349.5154,5.566867,355.3049,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,200,0.03117393,1.116024,-1.140633,349.0977,5.429466,355.3421,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,300,0.0321511,1.117028,-1.143939,348.5803,6.296557,355.4674,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,400,0.03453863,1.118257,-1.147228,347.8694,8.099736,355.4001,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,500,0.03649995,1.118845,-1.151211,347.415,9.857497,355.3125,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,600,0.03713509,1.119862,-1.154184,347.7476,11.41081,355.5709,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,700,0.03768309,1.119012,-1.158655,350.6861,13.74659,356.9816,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,800,0.03825574,1.117278,-1.164048,351.831,15.96235,357.6127,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,900,0.03808505,1.117594,-1.167859,351.8594,17.00976,357.1377,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1000,0.03763216,1.118773,-1.169795,351.9902,16.91326,357.238,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1100,0.03723399,1.118336,-1.171479,352.0544,16.35779,357.3418,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1200,0.0380466,1.118513,-1.173835,352.0386,16.73608,357.3465,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1300,0.0399814,1.118883,-1.176777,351.9599,17.30294,357.2129,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1400,0.04256368,1.119271,-1.179533,351.3793,18.01112,356.5696,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1500,0.04621074,1.119588,-1.181277,351.1346,18.93991,356.0267,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1600,0.04861178,1.119504,-1.182455,351.0613,19.4322,355.4965,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1700,0.04899965,1.120011,-1.182781,350.7265,19.58347,355.1608,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1800,0.04817034,1.120501,-1.18241,350.1825,19.33556,355.1869,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1900,0.04711458,1.120508,-1.181947,350.0912,19.23698,355.2343,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2000,0.04596989,1.120282,-1.180953,350.1546,19.21032,355.4259,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2100,0.04437334,1.119909,-1.179127,350.4499,19.09294,355.8044,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2200,0.04273512,1.119029,-1.177086,350.836,18.8687,356.2836,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2300,0.04111531,1.118797,-1.175243,350.8643,18.85399,356.4693,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2400,0.0399183,1.118302,-1.173497,351.1707,18.81029,356.7209,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2500,0.03900073,1.118071,-1.172545,351.3109,18.85459,356.7245,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2600,0.03901267,1.117552,-1.172329,351.6156,19.17576,356.9045,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2700,0.03975287,1.117334,-1.17214,351.8653,19.60822,356.8211,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2800,0.04108784,1.116683,-1.172182,352.2571,19.90781,356.7064,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2900,0.04257085,1.116502,-1.172075,352.4265,20.01864,356.4915,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3000,0.04370527,1.116747,-1.172369,352.2365,20.07534,356.211,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3100,0.04446544,1.116554,-1.172812,352.3904,20.22934,356.0957,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3200,0.04562003,1.116132,-1.172915,352.5897,20.59082,355.8774,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3300,0.04670126,1.115807,-1.173287,352.8098,20.95131,355.6309,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3400,0.04695158,1.115762,-1.173683,352.7809,21.0329,355.5673,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3500,0.0468979,1.115757,-1.173543,352.7583,20.90932,355.5147,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3600,0.04659352,1.115986,-1.173485,352.6591,20.72227,355.5664,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3700,0.04615919,1.116497,-1.173526,352.2286,20.38233,355.5934,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3800,0.0451387,1.117034,-1.173178,351.8633,19.69646,355.4965,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3900,0.04354214,1.116855,-1.172514,351.6421,18.37432,355.5646,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,4000,0.04106054,1.117241,-1.17172,351.2845,16.81469,355.7065,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4100,0.038742,1.117891,-1.171118,350.9024,15.49481,355.8228,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4200,0.03758342,1.11803,-1.171182,350.775,14.83228,355.8976,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4300,0.03689865,1.117753,-1.171226,350.9742,14.65323,356.1918,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4400,0.0365927,1.118389,-1.171005,350.5922,14.47228,356.1644,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4500,0.03666658,1.118542,-1.17139,350.3998,14.4931,356.2493,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4600,0.0369396,1.118535,-1.171733,350.3441,14.56127,356.2849,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4700,0.03648046,1.118959,-1.172537,350.1707,14.47044,356.3828,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4800,0.03562553,1.119767,-1.173721,349.8056,14.46974,356.5979,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,4900,0.03466628,1.12014,-1.174943,349.5148,14.40251,356.8077,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5000,0.03401237,1.120222,-1.176089,349.4055,14.352,356.8867,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5100,0.03318454,1.120298,-1.176741,349.4755,14.3335,356.9952,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5200,0.03268759,1.120201,-1.176675,349.7094,14.29806,357.0449,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5300,0.03280943,1.119775,-1.176264,349.9216,14.52992,357.0356,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5400,0.0327952,1.119478,-1.175772,350.2082,14.62546,357.155,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5500,0.03324739,1.11933,-1.175179,350.5406,14.75669,357.0978,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5600,0.03369915,1.118967,-1.1752,350.6397,14.95209,357.001,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5700,0.03403741,1.119249,-1.175418,350.5447,15.0062,356.8488,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5800,0.03425989,1.119473,-1.175623,350.4072,15.18299,356.7978,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,5900,0.03432552,1.119953,-1.17583,350.109,15.4353,356.8378,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,6000,0.03459501,1.120368,-1.175885,349.8531,15.53391,356.8619,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,6100,0.03529694,1.120965,-1.176192,349.455,16.05557,356.9415,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,6200,0.03633519,1.121738,-1.17705,348.8376,17.10606,356.9882,0,0,0,0,0,0,0,0
IA2513,VR Monitor Stereo,ScatterplotQ1,ReadingQuestion,6300,0.03758124,1.122336,-1.177763,348.1703,18.29829,356.946,0,0,0,0,0,0,0,0
