ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Right
II6040,VR,1,ScatterplotQ1,Right
II6040,VR,1,ScatterplotQ1,Right
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,1,ScatterplotQ1,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,2,ScatterplotQ2,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Front
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
II6040,VR,3,ScatterplotQ3,Right
