ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
II6040,VR,ScatterplotQ1,WaitingToReadyUp,0,0.1169084,1.11032,-0.9700353,343.236,22.30661,359.8496,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,100,0.1168015,1.110254,-0.9698676,343.2994,22.2256,359.8187,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,200,0.116566,1.110033,-0.9696969,343.4918,22.27041,359.864,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,300,0.1166606,1.109806,-0.9689776,343.6063,22.22026,0.005459651,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,400,0.1167716,1.109521,-0.9686272,343.8091,22.13369,0.1837804,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,500,0.1172398,1.109421,-0.9680969,344.074,22.16092,0.2086331,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,600,0.1177076,1.108776,-0.9680957,344.4067,22.12097,0.1801501,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,700,0.1174118,1.108753,-0.9681555,344.458,21.94011,0.1963013,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,800,0.1169895,1.108828,-0.968189,344.5074,21.7308,0.2077139,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,900,0.116819,1.10855,-0.9680743,344.6423,21.46154,0.2024911,0,0,0,0,0,0,0,0
II6040,VR,ScatterplotQ1,WaitingToReadyUp,1000,0.1167988,1.108425,-0.9678138,344.7753,21.23196,0.16081,0,0,0,0,0,0,0,0
