ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
IK0518,VR Monitor,1,SurfacePlotQ1,Front
