ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,0,0.1271626,1.117231,-0.9915488,344.2212,25.49057,0.005586063,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,100,0.1273089,1.117563,-0.991834,343.8885,25.41108,359.9261,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,200,0.1266864,1.11847,-0.9925518,343.1892,25.01652,359.8072,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,300,0.1260758,1.118812,-0.9934181,342.9987,25.00305,359.7994,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,400,0.1254434,1.118629,-0.9933623,343.0652,24.78414,359.9005,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,500,0.1249545,1.118454,-0.9933978,343.156,24.67149,359.9812,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,600,0.1249539,1.118275,-0.9929572,343.4029,24.53866,359.9359,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,700,0.125061,1.117943,-0.9926137,343.5077,24.56807,359.9405,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,800,0.1255206,1.117945,-0.9924152,343.6635,24.8639,359.9098,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,900,0.1260173,1.117707,-0.9923462,343.7225,25.14581,359.8477,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1000,0.1264071,1.117614,-0.9922232,343.8943,25.26698,359.8321,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1100,0.1268473,1.117452,-0.9920614,344.0842,25.41799,359.8681,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1200,0.126909,1.117358,-0.9916821,344.104,25.44017,359.8379,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1300,0.1267659,1.117342,-0.9914639,344.0665,25.41128,359.8565,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1400,0.1265868,1.117389,-0.9913812,344.1199,25.38358,359.9036,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1500,0.1265168,1.117466,-0.991464,343.9537,25.26833,359.8622,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1600,0.126188,1.117511,-0.9916266,343.9649,24.90578,359.8486,0,0,0,0,0,0,0,0
IK0518,VR Monitor,SurfacePlotQ1,WaitingToReadyUp,1700,0.1258816,1.117546,-0.9918377,343.9482,24.7663,359.9078,0,0,0,0,0,0,0,0
