ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Top
IL8872,VR Monitor,1,BarChartQ1,Top
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Top
IL8872,VR Monitor,1,BarChartQ1,Top
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Right
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,1,BarChartQ1,Front
IL8872,VR Monitor,2,BarChartQ2,Front
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Top
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,2,BarChartQ2,Right
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,3,BarChartQ3,Right
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,3,BarChartQ3,Top
IL8872,VR Monitor,3,BarChartQ3,Top
IL8872,VR Monitor,3,BarChartQ3,Right
IL8872,VR Monitor,3,BarChartQ3,Right
IL8872,VR Monitor,3,BarChartQ3,Right
IL8872,VR Monitor,3,BarChartQ3,Right
IL8872,VR Monitor,3,BarChartQ3,Right
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Back
IL8872,VR Monitor,3,BarChartQ3,Right
IL8872,VR Monitor,3,BarChartQ3,Right
IL8872,VR Monitor,3,BarChartQ3,Top
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,3,BarChartQ3,Front
IL8872,VR Monitor,4,BarChartQ4,Front
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Bottom
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Top
IL8872,VR Monitor,4,BarChartQ4,Top
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Back
IL8872,VR Monitor,4,BarChartQ4,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Top
IL8872,VR Monitor,5,SurfacePlotQ1,Top
IL8872,VR Monitor,5,SurfacePlotQ1,Top
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Right
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
IL8872,VR Monitor,5,SurfacePlotQ1,Front
