ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,0,0.1067225,1.122689,-1.010161,355.9367,26.89786,1.365964,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,100,0.1063977,1.12269,-1.010283,355.9688,26.94241,1.370775,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,200,0.1059637,1.122884,-1.010149,355.9068,26.81052,1.476889,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,300,0.1054847,1.12348,-1.010772,355.4612,26.95703,1.569543,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,400,0.1049581,1.123673,-1.011304,355.3146,26.89289,1.578907,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,500,0.1046027,1.123684,-1.011608,355.2799,26.69674,1.590385,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,600,0.1044616,1.123963,-1.011612,355.1336,26.64644,1.591347,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,700,0.1044239,1.123899,-1.01156,355.2163,26.47851,1.549199,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,800,0.1037434,1.123932,-1.011412,355.186,26.04465,1.606468,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,900,0.1033864,1.12396,-1.011267,355.2164,25.59733,1.591672,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1000,0.1013407,1.123989,-1.010644,355.213,24.01929,1.572811,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1100,0.09756109,1.123487,-1.008939,355.7506,20.74006,1.66685,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1200,0.09168886,1.122806,-1.006893,356.3195,16.14077,1.851259,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1300,0.08866288,1.122448,-1.005813,356.6125,14.9952,2.408848,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1400,0.08435984,1.120841,-1.004026,357.6823,11.59147,2.357431,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1500,0.08297598,1.120845,-1.002933,357.6847,11.00522,2.797092,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1600,0.08468939,1.120653,-1.003041,357.7309,12.73298,2.987869,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1700,0.08597322,1.120852,-1.004016,357.6775,13.4453,2.865048,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1800,0.087145,1.120673,-1.004413,357.8254,13.95767,2.713934,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,1900,0.08835199,1.120028,-1.003944,358.3825,14.40929,2.572068,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2000,0.08974269,1.119522,-1.003469,358.7863,15.13778,2.313927,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2100,0.09172338,1.118948,-1.003471,359.0088,16.35686,1.951053,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2200,0.09375037,1.118595,-1.003746,359.4082,17.27256,1.661023,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2300,0.0958256,1.118189,-1.003911,359.5274,18.28396,1.383072,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2400,0.09793681,1.118065,-1.004252,359.5581,19.21433,1.012512,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2500,0.1007706,1.118289,-1.005458,359.2784,20.9673,0.4210767,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2600,0.1028975,1.118453,-1.006481,359.1949,22.11762,0.04524083,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2700,0.1044489,1.118851,-1.007174,358.8506,22.90185,359.824,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2800,0.1063411,1.118748,-1.007869,358.8291,24.17752,359.5752,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,2900,0.1076278,1.118155,-1.008147,359.1924,24.70591,359.3986,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3000,0.1085366,1.116873,-1.008291,359.9318,24.84405,359.1602,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3100,0.1095843,1.116323,-1.007782,0.3080183,25.2159,359.0681,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3200,0.1106344,1.115681,-1.007322,0.6697294,25.65555,358.9174,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3300,0.1112681,1.115557,-1.007663,0.8548747,26.10322,358.8313,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3400,0.1118402,1.115327,-1.007769,0.9086919,26.30662,358.7697,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3500,0.112096,1.115037,-1.007691,1.098796,26.41677,358.7782,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3600,0.1122884,1.114977,-1.007291,1.154244,26.49797,358.7539,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3700,0.1128051,1.114691,-1.007741,1.289618,26.8513,358.7084,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3800,0.1128999,1.114787,-1.007932,1.248338,26.94427,358.7234,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,3900,0.1125757,1.114686,-1.00748,1.288692,26.85494,358.7998,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4000,0.1123056,1.114563,-1.007419,1.385629,26.804,358.8382,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4100,0.1117125,1.114738,-1.007512,1.307082,26.77404,358.8759,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4200,0.1114857,1.115447,-1.007875,0.8620411,26.7863,359.0212,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4300,0.1108692,1.116558,-1.008486,0.2341757,26.8014,359.1236,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4400,0.1103422,1.117277,-1.009313,359.6074,26.79082,359.2118,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4500,0.110004,1.117962,-1.009841,359.1288,26.60521,359.2096,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4600,0.1092131,1.118729,-1.010142,358.723,26.27682,359.3173,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4700,0.1084446,1.119113,-1.010407,358.3918,25.98415,359.3818,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4800,0.1077563,1.119474,-1.010358,358.2153,25.66384,359.4614,0,0,0,0,0,0,0,0
IL8872,VR Monitor,BarChartQ1,WaitingToReadyUp,4900,0.1067246,1.119448,-1.009905,358.261,24.98096,359.6329,0,0,0,0,0,0,0,0
