ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,0,0.02072956,1.136666,-1.104385,0.6780464,5.512591,3.11896,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,100,0.01753791,1.1363,-1.104304,0.9335283,3.994565,2.875508,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,200,0.01226467,1.136292,-1.104852,1.02879,0.5007227,2.106125,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,300,0.0114632,1.136714,-1.106022,1.04589,0.1332971,2.086218,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,400,0.01275521,1.136801,-1.106951,0.9623031,0.7790334,2.082802,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,500,0.01303789,1.13691,-1.107439,1.155406,0.5607865,1.975712,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,600,0.01268835,1.1371,-1.107528,1.109788,0.3103448,2.02208,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,700,0.01218812,1.138007,-1.10773,0.9602994,0.1869999,2.34008,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,800,0.01163299,1.137628,-1.109447,1.210891,359.9906,2.520733,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,900,0.01299062,1.137994,-1.109912,0.933718,0.922602,2.287568,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,1000,0.01768019,1.139064,-1.108119,0.1620535,4.58058,2.537596,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,1100,0.03166013,1.142983,-1.108737,356.5721,15.45188,3.460441,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,1200,0.0486526,1.14689,-1.114794,352.0812,27.60061,4.397143,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,1300,0.0564978,1.14945,-1.119815,349.7184,31.63755,3.938617,0,0,0,0,0,0,0,0
IO2253,VR Monitor,LineChartQ1,WaitingToReadyUp,1400,0.05968168,1.151535,-1.12196,348.6632,31.67339,2.816587,0,0,0,0,0,0,0,0
