ParticipantId,Condition,TrialNumber,TrialName,TimeToReadQuestion,TimeToBeginInput,UserInput
IR0779,VR Monitor,1,LineChartQ1,27101.2167,182033.6332,2
IR0779,VR Monitor,2,LineChartQ2,15749.0806,126094.7572,june
IR0779,VR Monitor,3,LineChartQ3,4869.8677,73574.8271,2
IR0779,VR Monitor,4,LineChartQ4,4099.2853,12321.0667,1
IR0779,VR Monitor,5,LineChartQ5,7372.8659,16676.3556,3
IR0779,VR Monitor,6,SurfacePlotQ1,4837.2561,17056.1182,90
IR0779,VR Monitor,7,SurfacePlotQ2,5718.515,26047.8719,a lot
IR0779,VR Monitor,8,SurfacePlotQ3,7741.2606,41606.9864,decreasing
IR0779,VR Monitor,9,BarChartQ1,2893.6422,10711.9751,2010
IR0779,VR Monitor,10,BarChartQ2,4468.1336,57378.6151,remain stable over time
IR0779,VR Monitor,11,BarChartQ3,882.4353,31923.4727,north
IR0779,VR Monitor,12,BarChartQ4,3318.7242,46990.8248, north
IR0779,VR Monitor,13,ScatterplotQ1,3441.4728,69007.7926,2016
IR0779,VR Monitor,14,ScatterplotQ2,738.0794,47996.9631,2016
IR0779,VR Monitor,15,ScatterplotQ3,670.4283,14555.139,no relationship
IR0779,VR Monitor,16,ScatterplotQ4,3252.0636,3463.9539,increasing
IR0779,VR Monitor,17,ScatterplotQ5,302.2423,33029.4584,blue
