ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Right
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,1,ScatterplotQ1,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
IR1101,VR Monitor,2,ScatterplotQ2,Front
