ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Front
LE9083,VR Monitor,1,LineChartQ1,Right
LE9083,VR Monitor,1,LineChartQ1,Right
LE9083,VR Monitor,1,LineChartQ1,Right
LE9083,VR Monitor,1,LineChartQ1,Right
LE9083,VR Monitor,1,LineChartQ1,Right
LE9083,VR Monitor,1,LineChartQ1,Right
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,2,LineChartQ2,Right
LE9083,VR Monitor,2,LineChartQ2,Right
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,2,LineChartQ2,Right
LE9083,VR Monitor,2,LineChartQ2,Right
LE9083,VR Monitor,2,LineChartQ2,Right
LE9083,VR Monitor,2,LineChartQ2,Right
LE9083,VR Monitor,2,LineChartQ2,Right
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,2,LineChartQ2,Front
LE9083,VR Monitor,3,LineChartQ3,Front
LE9083,VR Monitor,3,LineChartQ3,Front
LE9083,VR Monitor,3,LineChartQ3,Front
LE9083,VR Monitor,3,LineChartQ3,Front
LE9083,VR Monitor,3,LineChartQ3,Front
LE9083,VR Monitor,3,LineChartQ3,Front
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Right
LE9083,VR Monitor,3,LineChartQ3,Front
LE9083,VR Monitor,3,LineChartQ3,Front
LE9083,VR Monitor,4,LineChartQ4,Front
LE9083,VR Monitor,4,LineChartQ4,Front
LE9083,VR Monitor,4,LineChartQ4,Front
LE9083,VR Monitor,4,LineChartQ4,Right
LE9083,VR Monitor,4,LineChartQ4,Right
LE9083,VR Monitor,4,LineChartQ4,Front
LE9083,VR Monitor,4,LineChartQ4,Front
LE9083,VR Monitor,4,LineChartQ4,Front
LE9083,VR Monitor,5,LineChartQ5,Front
LE9083,VR Monitor,5,LineChartQ5,Front
LE9083,VR Monitor,5,LineChartQ5,Right
LE9083,VR Monitor,5,LineChartQ5,Right
LE9083,VR Monitor,5,LineChartQ5,Front
LE9083,VR Monitor,5,LineChartQ5,Front
LE9083,VR Monitor,5,LineChartQ5,Right
LE9083,VR Monitor,5,LineChartQ5,Right
LE9083,VR Monitor,5,LineChartQ5,Right
LE9083,VR Monitor,5,LineChartQ5,Front
LE9083,VR Monitor,5,LineChartQ5,Front
LE9083,VR Monitor,6,BarChartQ1,Front
LE9083,VR Monitor,6,BarChartQ1,Front
LE9083,VR Monitor,6,BarChartQ1,Front
LE9083,VR Monitor,6,BarChartQ1,Front
LE9083,VR Monitor,6,BarChartQ1,Front
LE9083,VR Monitor,6,BarChartQ1,Front
LE9083,VR Monitor,6,BarChartQ1,Front
LE9083,VR Monitor,6,BarChartQ1,Front
