ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,1,LineChartQ1,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,2,LineChartQ2,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,3,LineChartQ3,Front
LI5910,VR,4,LineChartQ4,Front
LI5910,VR,4,LineChartQ4,Front
LI5910,VR,4,LineChartQ4,Front
LI5910,VR,4,LineChartQ4,Front
LI5910,VR,4,LineChartQ4,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,5,LineChartQ5,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Right
LI5910,VR,6,BarChartQ1,Right
LI5910,VR,6,BarChartQ1,Right
LI5910,VR,6,BarChartQ1,Right
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,6,BarChartQ1,Front
LI5910,VR,7,BarChartQ2,Front
LI5910,VR,7,BarChartQ2,Front
LI5910,VR,7,BarChartQ2,Front
LI5910,VR,7,BarChartQ2,Front
LI5910,VR,7,BarChartQ2,Front
LI5910,VR,7,BarChartQ2,Front
LI5910,VR,7,BarChartQ2,Front
LI5910,VR,7,BarChartQ2,Right
LI5910,VR,7,BarChartQ2,Right
LI5910,VR,7,BarChartQ2,Right
LI5910,VR,7,BarChartQ2,Right
