ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
LL5887,VR,LineChartQ1,WaitingToReadyUp,0,0.09461205,1.101593,-1.016256,349.7388,17.0867,6.599443,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,100,0.09465116,1.101258,-1.015803,349.8544,17.11704,6.6532,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,200,0.09452173,1.101295,-1.015409,349.8428,16.93708,6.697488,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,300,0.09438825,1.10128,-1.015343,349.7661,16.8725,6.690529,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,400,0.09439736,1.101351,-1.015543,349.845,16.97341,6.73256,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,500,0.09490076,1.10126,-1.015813,349.8891,17.17619,6.557555,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,600,0.09601231,1.101506,-1.016305,349.7814,17.94738,6.518029,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,700,0.09853388,1.101259,-1.016965,349.6493,20.31223,6.491819,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,800,0.1035017,1.101552,-1.018716,349.4099,25.24596,6.200225,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,900,0.10689,1.101397,-1.020937,349.3417,28.33836,5.937744,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1000,0.1093627,1.100365,-1.022776,350.3565,30.413,5.97899,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1100,0.1105061,1.098961,-1.023483,351.7057,31.43299,5.648114,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1200,0.1114974,1.096748,-1.023641,353.8004,31.74201,5.167376,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1300,0.1122862,1.096615,-1.023098,353.9366,31.75995,5.211537,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1400,0.1127125,1.096513,-1.022832,354.0554,31.67519,5.15939,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1500,0.1126652,1.09654,-1.022925,354.0348,31.6753,5.146684,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1600,0.1125931,1.096775,-1.022857,353.9344,31.45503,5.157379,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1700,0.1127571,1.096794,-1.022445,353.9729,31.37428,5.231936,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1800,0.1130049,1.096751,-1.022292,353.9627,31.31295,5.254494,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,1900,0.1127584,1.096929,-1.022151,353.9344,31.22567,5.243497,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2000,0.1129994,1.096747,-1.022005,353.9881,31.12296,5.393194,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2100,0.1133316,1.096984,-1.021957,353.9143,31.17527,5.316184,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2200,0.1137619,1.096785,-1.021883,353.959,31.19946,5.28453,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2300,0.1138627,1.096917,-1.021966,353.9541,31.16784,5.185173,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2400,0.1137772,1.096982,-1.022052,353.9488,31.16751,5.181276,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2500,0.1134214,1.096878,-1.021636,353.9979,31.05762,5.255378,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2600,0.1131607,1.096928,-1.021497,354.0255,30.89786,5.286973,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2700,0.1132942,1.096667,-1.021153,354.0708,30.85598,5.316186,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2800,0.1130275,1.096837,-1.021304,354.0555,30.77485,5.261644,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,2900,0.1128846,1.096869,-1.021343,354.0912,30.60608,5.29874,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3000,0.1133006,1.096858,-1.021054,354.1551,30.53331,5.259398,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3100,0.1133834,1.096898,-1.020833,354.1496,30.44903,5.252695,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3200,0.1132032,1.096706,-1.020485,354.267,30.32001,5.286403,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3300,0.1131159,1.096779,-1.020458,354.2494,30.2913,5.306751,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3400,0.1130381,1.09673,-1.020532,354.2588,30.31738,5.323195,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3500,0.113152,1.09671,-1.020302,354.2615,30.28713,5.33215,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3600,0.1130465,1.096649,-1.020228,354.2894,30.27567,5.329958,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3700,0.1132284,1.096846,-1.019951,354.3801,30.22703,5.317976,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3800,0.1132321,1.096681,-1.020023,354.3599,30.11854,5.314882,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,3900,0.1134701,1.09695,-1.020013,354.3457,30.10768,5.261311,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4000,0.1136492,1.096806,-1.020165,354.2872,30.12247,5.2026,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4100,0.1136305,1.096781,-1.020282,354.3261,30.1015,5.134367,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4200,0.1136407,1.097015,-1.019645,354.1245,29.87737,5.131655,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4300,0.1114227,1.099307,-1.017334,352.0666,26.52723,4.783386,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4400,0.1059572,1.101669,-1.015301,349.7924,20.59433,4.461992,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4500,0.1005545,1.103822,-1.014827,347.5629,15.604,4.396477,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4600,0.09667327,1.10462,-1.015997,346.9206,12.89673,4.866746,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4700,0.09402006,1.104601,-1.016317,347.0889,11.77114,4.949262,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4800,0.09195316,1.104089,-1.015488,347.5826,10.79172,4.859834,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,4900,0.08919324,1.102456,-1.014286,349.0515,9.121709,4.95213,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,5000,0.0871729,1.102265,-1.012546,349.0664,7.09363,5.139406,0,0,0,0,0,0,0,0
LL5887,VR,LineChartQ1,WaitingToReadyUp,5100,0.08610647,1.101849,-1.011681,349.4546,5.205564,4.823389,0,0,0,0,0,0,0,0
