ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,1,ScatterplotQ1,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Right
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
LO3861,VR Monitor Stereo,2,ScatterplotQ2,Front
