ParticipantId,Condition,TrialNumber,TrialName,TimeToReadQuestion,TimeToBeginInput,UserInput
MA1301,VR,1,SurfacePlotQ1,6769.4668,105854.3078,i don't know
MA1301,VR,2,SurfacePlotQ2,7439.2032,36111.3886,negatively influences it
MA1301,VR,3,SurfacePlotQ3,4859.5522,25064.7865,Raises it
MA1301,VR,4,ScatterplotQ1,11193.2433,21077.4261,high income
MA1301,VR,5,ScatterplotQ2,4724.9026,26260.1326,2010
MA1301,VR,6,ScatterplotQ3,6490.2269,47035.8363,positive
MA1301,VR,7,ScatterplotQ4,3652.7592,55189.6495,increasing
MA1301,VR,8,ScatterplotQ5,7707.4781,40322.6924,raise income and lower ied attacks
MA1301,VR,9,BarChartQ1,5015.6438,21044.5371,north
MA1301,VR,10,BarChartQ2,6098.2788,10298.6237,remained the same
MA1301,VR,11,BarChartQ3,3295.2197,8935.2036,North
MA1301,VR,12,BarChartQ4,3462.7927,9024.9926,west
MA1301,VR,13,LineChartQ1,3373.5405,13471.1788,2
MA1301,VR,14,LineChartQ2,6054.4026,25131.6297,25
MA1301,VR,15,LineChartQ3,3887.6824,13068.2878,3
MA1301,VR,16,LineChartQ4,6053.8885,8857.928,1
MA1301,VR,17,LineChartQ5,13429.2521,27690.3163,3
