ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,0,0.08716553,1.10413,-0.9914509,347.7427,19.28035,9.083911,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,100,0.08741769,1.103846,-0.9917595,348.0125,19.32261,8.965386,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,200,0.08766014,1.103712,-0.9918449,348.1551,19.29784,8.876896,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,300,0.08869007,1.103651,-0.9919354,348.1375,20.09548,8.870686,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,400,0.08971374,1.104248,-0.9920731,347.8818,21.00317,8.728738,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,500,0.09046669,1.105395,-0.9922704,347.1625,22.11397,8.997211,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,600,0.09104663,1.10564,-0.9926621,346.6805,22.77329,9.24599,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,700,0.09072646,1.106207,-0.9934329,346.4236,22.95918,9.356143,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,800,0.09029339,1.106202,-0.9935766,346.3747,22.72365,9.34827,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,900,0.08993765,1.105792,-0.9932725,346.4734,22.4226,9.44615,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1000,0.08950286,1.105567,-0.9929588,346.6017,21.99603,9.537823,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1100,0.08944854,1.105419,-0.992541,346.7116,21.71007,9.391669,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1200,0.08957125,1.104696,-0.9922165,347.1555,21.49564,9.175533,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1300,0.09033996,1.103862,-0.9920208,347.8722,21.79725,8.978621,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1400,0.09235569,1.102778,-0.9921725,348.7059,23.50492,8.46812,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1500,0.09530028,1.101581,-0.9925257,349.6767,25.90292,7.818766,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1600,0.09666014,1.101173,-0.992718,349.875,26.97687,7.374649,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1700,0.09668487,1.101546,-0.9926171,349.5361,26.63023,7.238879,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1800,0.09633706,1.102286,-0.9923148,348.9144,25.97604,7.243997,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,1900,0.09575191,1.103556,-0.9925017,347.9399,25.60607,7.387301,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,2000,0.09536544,1.104337,-0.9935572,347.3338,25.66928,7.406528,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,2100,0.09461243,1.104785,-0.9939294,346.9108,25.37681,7.408975,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,WaitingToReadyUp,2200,0.09372988,1.105306,-0.9942799,346.34,24.93139,7.550436,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,2300,0.09318772,1.10516,-0.9944474,346.2402,24.54214,7.696031,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,2400,0.09267189,1.105226,-0.9944615,346.2005,24.27529,7.852666,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,2500,0.09237865,1.105429,-0.9944949,346.0793,24.19406,8.060597,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,2600,0.09204977,1.106157,-0.9942669,345.6434,24.22014,8.669636,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,2700,0.09170824,1.106331,-0.9943498,345.5134,24.32235,9.208912,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,2800,0.09153084,1.106294,-0.9945821,345.5171,24.32042,9.353453,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,2900,0.09147398,1.106416,-0.9949623,345.5143,24.08152,9.222995,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3000,0.09179573,1.106313,-0.9949726,345.5515,24.09528,9.164999,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3100,0.09194932,1.106102,-0.9947242,345.7086,24.12337,9.178603,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3200,0.09214567,1.106031,-0.9946626,345.8411,24.14586,9.190569,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3300,0.09269059,1.106047,-0.9947913,345.8926,24.37117,9.102669,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3400,0.09313375,1.106079,-0.9947208,345.8822,24.51294,8.993767,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3500,0.09338889,1.105973,-0.9947852,345.9587,24.43389,9.034847,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3600,0.09342829,1.106081,-0.9948014,345.8822,24.35881,9.06278,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3700,0.09327878,1.106181,-0.9949753,345.7731,24.43176,8.965528,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3800,0.09352151,1.105927,-0.994774,345.8098,24.47133,8.940452,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,3900,0.09341755,1.105873,-0.9945792,345.7913,24.43892,8.966062,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4000,0.0931476,1.105901,-0.9946721,345.7573,24.43122,9.005133,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4100,0.09317288,1.105978,-0.9945228,345.7692,24.42465,8.974596,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4200,0.09313911,1.105965,-0.9945248,345.8307,24.49099,8.966673,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4300,0.09360674,1.10562,-0.9947498,345.8488,24.49007,8.923585,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4400,0.09363854,1.105801,-0.9948106,345.8093,24.51228,8.830961,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4500,0.09425767,1.105504,-0.9946007,345.8692,24.5794,8.749854,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4600,0.09423283,1.10561,-0.994539,345.93,24.64902,8.729491,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4700,0.09432727,1.105354,-0.9945521,345.9826,24.66557,8.755244,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4800,0.0943277,1.105322,-0.9943777,345.9924,24.70703,8.793468,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,4900,0.09405223,1.105336,-0.9943576,346.0348,24.64062,8.851983,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,5000,0.09406711,1.10532,-0.9944828,346.0044,24.63438,8.866737,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,5100,0.09396733,1.105342,-0.9943006,345.9718,24.63244,8.857304,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,5200,0.09411326,1.105063,-0.9942319,346.0305,24.65145,8.864451,0,0,0,0,0,0,0,0
MO2873,VR Monitor,LineChartQ1,ReadingQuestion,5300,0.09411326,1.10503,-0.9939817,346.0689,24.63156,8.894885,0,0,0,0,0,0,0,0
