ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,0,0.1178565,1.147157,-1.043619,352.0722,22.41286,1.656572,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,100,0.1170342,1.146636,-1.042824,352.5464,21.73975,1.720782,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,200,0.1098093,1.1457,-1.040227,353.4482,15.71709,1.901561,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,300,0.1028451,1.146046,-1.039186,353.2855,11.89186,2.086489,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,400,0.1027677,1.148154,-1.039678,352.2822,13.05795,2.212172,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,500,0.10773,1.150976,-1.04127,350.2368,17.46704,2.142469,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,600,0.1130455,1.151757,-1.043918,349.3905,21.70197,1.940506,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,700,0.1151261,1.152334,-1.045419,348.9991,23.13011,2.088714,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,800,0.1151906,1.153005,-1.045775,348.4577,23.35989,2.185021,0,0,0,0,0,0,0,0
MU9517,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,900,0.1145006,1.152512,-1.045361,348.7182,22.36983,2.077085,0,0,0,0,0,0,0,0
