ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,1,SurfacePlotQ1,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,2,SurfacePlotQ2,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Front
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,3,SurfacePlotQ3,Right
OI0406,VR Monitor Stereo,4,BarChartQ1,Front
OI0406,VR Monitor Stereo,4,BarChartQ1,Front
OI0406,VR Monitor Stereo,4,BarChartQ1,Front
OI0406,VR Monitor Stereo,4,BarChartQ1,Front
OI0406,VR Monitor Stereo,4,BarChartQ1,Front
OI0406,VR Monitor Stereo,4,BarChartQ1,Front
OI0406,VR Monitor Stereo,4,BarChartQ1,Front
OI0406,VR Monitor Stereo,4,BarChartQ1,Front
OI0406,VR Monitor Stereo,4,BarChartQ1,Right
OI0406,VR Monitor Stereo,4,BarChartQ1,Right
OI0406,VR Monitor Stereo,4,BarChartQ1,Right
OI0406,VR Monitor Stereo,4,BarChartQ1,Right
OI0406,VR Monitor Stereo,4,BarChartQ1,Right
OI0406,VR Monitor Stereo,4,BarChartQ1,Right
OI0406,VR Monitor Stereo,5,BarChartQ2,Front
OI0406,VR Monitor Stereo,5,BarChartQ2,Front
OI0406,VR Monitor Stereo,5,BarChartQ2,Front
OI0406,VR Monitor Stereo,5,BarChartQ2,Right
OI0406,VR Monitor Stereo,5,BarChartQ2,Right
OI0406,VR Monitor Stereo,5,BarChartQ2,Right
OI0406,VR Monitor Stereo,5,BarChartQ2,Back
OI0406,VR Monitor Stereo,5,BarChartQ2,Back
OI0406,VR Monitor Stereo,5,BarChartQ2,Left
OI0406,VR Monitor Stereo,5,BarChartQ2,Left
OI0406,VR Monitor Stereo,5,BarChartQ2,Left
OI0406,VR Monitor Stereo,5,BarChartQ2,Front
OI0406,VR Monitor Stereo,5,BarChartQ2,Front
