ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,0,0.104984,1.101038,-0.9807026,352.5391,7.282204,358.266,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,100,0.1032953,1.100564,-0.9786907,352.7539,7.301775,358.2597,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,200,0.1029292,1.100302,-0.9775996,352.9171,7.79016,358.1237,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,300,0.1025672,1.100298,-0.9777883,352.702,7.855315,358.1255,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,400,0.1023887,1.101514,-0.9790111,351.8433,7.856137,358.1435,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,500,0.1039468,1.102854,-0.9808326,350.5798,8.705043,358.0957,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,600,0.1063918,1.104871,-0.9841143,348.9514,10.62765,358.0092,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,700,0.1094081,1.106807,-0.9880595,347.2182,13.45977,358.1301,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,800,0.1122818,1.109019,-0.9928565,345.3659,16.87634,358.3105,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,900,0.1152908,1.110912,-0.9970188,343.8386,20.30066,358.1604,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1000,0.117917,1.112221,-1.000597,342.5222,23.18819,357.8871,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1100,0.1198136,1.113058,-1.00285,341.6311,25.05266,357.541,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1200,0.1208333,1.112988,-1.003546,341.4404,25.8972,357.2054,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1300,0.1214462,1.112393,-1.002958,341.8332,25.93997,357.1016,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1400,0.1217266,1.112257,-1.001903,342.0846,25.77215,357.1958,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1500,0.1218849,1.112134,-1.000984,342.1098,25.65154,357.2664,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1600,0.1219955,1.11184,-1.000716,342.3281,25.66678,357.32,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1700,0.1216789,1.111939,-1.001031,342.3476,25.74461,357.265,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1800,0.1216541,1.11223,-1.001626,342.2474,25.89797,357.1938,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1900,0.1218599,1.111834,-1.001482,342.3513,25.9546,357.1862,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2000,0.1218517,1.111952,-1.00142,342.3581,25.97869,357.179,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2100,0.1220572,1.111969,-1.001273,342.3402,26.00779,357.16,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2200,0.122428,1.11206,-1.001441,342.3279,26.0929,357.0751,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2300,0.12254,1.112198,-1.002133,342.2523,26.12963,357.0374,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2400,0.1225442,1.112492,-1.002923,342.0828,26.18354,356.9752,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2500,0.1227878,1.112608,-1.002918,342.032,26.18613,356.9436,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2600,0.1225067,1.112492,-1.002296,342.138,26.06954,357.0186,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2700,0.1224828,1.112108,-1.001583,342.2562,25.9532,357.0846,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2800,0.1225191,1.11182,-1.001062,342.3511,25.90726,357.1322,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2900,0.1227549,1.111786,-1.000634,342.476,25.88923,357.104,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,3000,0.1228177,1.111694,-1.000684,342.5429,25.83964,357.0883,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,3100,0.123022,1.111485,-1.000481,342.5946,25.84376,356.998,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,3200,0.1232637,1.11125,-1.000014,342.78,25.84229,356.9945,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,3300,0.1234167,1.110689,-0.9990355,343.2559,25.81534,356.9903,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,3400,0.1244466,1.10956,-0.9971591,344.5032,25.8424,357.0076,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,3500,0.1266121,1.106593,-0.993197,346.9924,26.3538,356.7922,0,0,0,0,0,0,0,0
OI0406,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,3600,0.1296946,1.102829,-0.9884341,349.9634,27.30231,356.4725,0,0,0,0,0,0,0,0
