ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
OO3782,VR,LineChartQ1,WaitingToReadyUp,0,0.04419042,1.169511,-1.015372,349.6887,20.88007,5.279357,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,100,0.04461112,1.16908,-1.015084,349.9031,21.01142,5.293602,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,200,0.04506472,1.1688,-1.014781,349.9449,21.19092,5.31179,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,300,0.04564841,1.169441,-1.015279,349.4733,21.66136,5.437717,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,400,0.04602127,1.170698,-1.016534,348.6009,22.28734,5.441539,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,500,0.04621082,1.17125,-1.018607,348.0154,22.93216,5.350348,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,600,0.04606133,1.171682,-1.020022,347.5765,23.17511,5.085471,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,700,0.04518684,1.171771,-1.020634,347.5163,23.01032,5.036939,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,800,0.04489499,1.171192,-1.020573,347.7287,22.89296,4.971773,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,900,0.04471421,1.170965,-1.020394,347.7359,22.85008,5.029182,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1000,0.04496645,1.170432,-1.019947,347.9756,22.79958,4.985815,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1100,0.0454528,1.170075,-1.019883,348.1432,23.02626,4.870343,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1200,0.04603616,1.169965,-1.020006,348.2906,23.32093,4.678144,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1300,0.04664657,1.169519,-1.020038,348.5116,23.59892,4.497275,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1400,0.04727715,1.169303,-1.020342,348.6061,23.82106,4.421419,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1500,0.04736686,1.169248,-1.020418,348.5753,23.93174,4.284831,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1600,0.04777174,1.168782,-1.020049,348.824,24.08073,4.154935,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1700,0.04859524,1.168329,-1.019884,349.0221,24.41642,4.095165,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1800,0.048852,1.168049,-1.019393,349.2519,24.44328,4.073773,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,1900,0.04876906,1.168017,-1.019477,349.3013,24.37836,4.115837,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2000,0.04851326,1.16834,-1.019844,349.1913,24.39384,4.154509,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2100,0.04843838,1.168875,-1.019968,348.8811,24.29739,4.118965,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2200,0.04814181,1.168941,-1.020423,348.843,24.2162,4.161177,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2300,0.04782898,1.169418,-1.02085,348.5182,24.16914,4.172064,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2400,0.0477456,1.169458,-1.021159,348.3711,24.11611,4.199555,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2500,0.0478111,1.169747,-1.021397,348.2734,24.02559,4.198632,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2600,0.04772015,1.169839,-1.021308,348.1814,23.90126,4.264638,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2700,0.0474607,1.169768,-1.020944,348.1987,23.72191,4.28459,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2800,0.04772183,1.169535,-1.020917,348.2293,23.71681,4.309861,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,2900,0.04772166,1.16963,-1.020742,348.2001,23.65721,4.271224,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3000,0.04774879,1.169534,-1.020583,348.2701,23.60993,4.310156,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3100,0.04805052,1.169361,-1.020576,348.2834,23.66502,4.268576,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3200,0.04824959,1.169573,-1.020558,348.2567,23.73147,4.172833,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3300,0.0485862,1.169511,-1.020731,348.3403,23.76718,4.111992,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3400,0.04883567,1.16954,-1.021028,348.1749,23.79318,4.057306,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3500,0.04880888,1.169569,-1.020898,348.1947,23.66977,4.109718,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3600,0.04904387,1.169199,-1.020559,348.3093,23.60184,4.090735,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3700,0.04889417,1.169337,-1.020576,348.3114,23.62539,4.104861,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3800,0.04898729,1.169173,-1.02044,348.2331,23.55121,4.064013,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,3900,0.04873315,1.169081,-1.020592,348.2854,23.49724,4.119866,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,4000,0.04836728,1.169196,-1.020652,348.191,23.41355,4.136483,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,4100,0.04813774,1.168839,-1.020273,348.3496,23.43555,4.211038,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,4200,0.04781678,1.168671,-1.019996,348.4977,23.37399,4.252075,0,0,0,0,0,0,0,0
OO3782,VR,LineChartQ1,WaitingToReadyUp,4300,0.04762442,1.168096,-1.01967,348.7086,23.19773,4.255429,0,0,0,0,0,0,0,0
