ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,0,0.0675811,1.171031,-1.106289,353.9194,24.01666,359.1201,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,100,0.07175133,1.170581,-1.106537,354.1959,25.63404,359.1695,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,200,0.07041454,1.170408,-1.10627,354.4131,23.03636,358.8269,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,300,0.06741165,1.175379,-1.109428,351.2772,22.44685,359.6595,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,400,0.06890617,1.18017,-1.116712,348.0324,25.68721,359.7882,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,500,0.06734714,1.18451,-1.124478,345.0744,26.99807,359.6473,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,600,0.06571752,1.185999,-1.128539,343.9586,26.62926,359.5173,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,700,0.06462802,1.186398,-1.128927,343.6852,26.17229,359.3482,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,800,0.0659321,1.186691,-1.127866,343.2458,26.75169,359.3463,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,900,0.06817004,1.186083,-1.127768,343.4581,28.14375,359.155,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,1000,0.06834376,1.185663,-1.127186,343.7342,28.10233,359.2143,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,1100,0.06727547,1.185269,-1.126312,343.8478,27.3203,359.3084,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,1200,0.04804249,1.181738,-1.115568,347.2046,12.36387,1.135359,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,1300,0.02556849,1.174403,-1.107539,352.0624,357.0374,1.896355,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,1400,0.01923585,1.172293,-1.102369,353.976,354.0838,1.182108,0,0,0,0,0,0,0,0
PO0892,VR,ScatterplotQ1,WaitingToReadyUp,1500,0.02110302,1.17186,-1.099861,354.316,356.2249,0.8581743,0,0,0,0,0,0,0,0
