ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,1,SurfacePlotQ1,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,2,SurfacePlotQ2,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,3,SurfacePlotQ3,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,4,BarChartQ1,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Front
RA5840,VR Monitor Stereo,5,BarChartQ2,Right
RA5840,VR Monitor Stereo,5,BarChartQ2,Right
RA5840,VR Monitor Stereo,5,BarChartQ2,Right
RA5840,VR Monitor Stereo,5,BarChartQ2,Right
RA5840,VR Monitor Stereo,5,BarChartQ2,Right
RA5840,VR Monitor Stereo,5,BarChartQ2,Right
RA5840,VR Monitor Stereo,5,BarChartQ2,Right
RA5840,VR Monitor Stereo,5,BarChartQ2,Right
