ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,0,0.02794644,1.171067,-1.039457,340.4164,0.4365661,358.9461,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,100,0.04189,1.170531,-1.040901,341.1652,10.85078,359.8359,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,200,0.051612,1.173564,-1.046028,339.3186,18.80249,0.2194447,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,300,0.05139838,1.181127,-1.053377,334.8238,21.32515,0.9513076,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,400,0.04976482,1.192651,-1.06694,326.9667,24.75137,1.666508,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,500,0.04755766,1.198902,-1.080656,322.4891,28.12582,1.737025,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,600,0.04610358,1.200631,-1.089608,321.3366,30.23903,1.388386,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,700,0.04694547,1.200723,-1.095365,321.4802,32.64014,0.7972456,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,800,0.0475107,1.200073,-1.098075,321.9811,33.70771,0.1621223,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,900,0.04800493,1.198052,-1.096261,323.687,33.30389,359.9616,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,1000,0.05646189,1.189001,-1.0884,330.8093,35.0469,358.5235,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,1100,0.06672753,1.175072,-1.075724,340.3339,35.72879,358.3711,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,1200,0.07479112,1.164247,-1.064931,347.087,35.88837,358.7823,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,1300,0.07739808,1.16239,-1.05857,348.0504,35.09446,359.0751,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,1400,0.07496385,1.164182,-1.053712,347.308,32.28703,359.4465,0,0,0,0,0,0,0,0
RA8589,VR,ScatterplotQ1,WaitingToReadyUp,1500,0.06721022,1.166003,-1.048217,346.191,25.57312,358.3011,0,0,0,0,0,0,0,0
