ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Right
RG8876,VR,1,BarChartQ1,Right
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,1,BarChartQ1,Front
RG8876,VR,2,BarChartQ2,Front
RG8876,VR,2,BarChartQ2,Front
RG8876,VR,2,BarChartQ2,Front
RG8876,VR,2,BarChartQ2,Front
RG8876,VR,2,BarChartQ2,Top
RG8876,VR,2,BarChartQ2,Right
RG8876,VR,2,BarChartQ2,Right
RG8876,VR,2,BarChartQ2,Top
RG8876,VR,2,BarChartQ2,Top
RG8876,VR,2,BarChartQ2,Front
RG8876,VR,2,BarChartQ2,Front
RG8876,VR,2,BarChartQ2,Front
RG8876,VR,3,BarChartQ3,Front
RG8876,VR,3,BarChartQ3,Front
RG8876,VR,3,BarChartQ3,Front
RG8876,VR,3,BarChartQ3,Right
RG8876,VR,3,BarChartQ3,Front
RG8876,VR,3,BarChartQ3,Front
RG8876,VR,3,BarChartQ3,Front
RG8876,VR,3,BarChartQ3,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Right
RG8876,VR,4,BarChartQ4,Right
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,4,BarChartQ4,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Right
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,5,SurfacePlotQ1,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
RG8876,VR,6,SurfacePlotQ2,Front
