ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
RG8876,VR,BarChartQ1,WaitingToReadyUp,0,0.03877682,1.12302,-1.01281,351.5197,18.03496,0.0349182,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,100,0.0382202,1.123021,-1.012787,351.6159,17.92932,0.12046,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,200,0.03799095,1.123199,-1.012587,351.5379,17.91326,0.2397176,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,300,0.03803675,1.123123,-1.012285,351.4643,17.91866,0.2655697,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,400,0.03846531,1.123228,-1.012273,351.4107,18.16974,0.3051381,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,500,0.03885427,1.12288,-1.012297,351.5869,18.40792,0.2972591,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,600,0.03955065,1.122781,-1.012555,351.7188,18.79684,0.218527,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,700,0.04037199,1.122243,-1.01269,352.0926,19.33034,359.9507,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,800,0.04153258,1.121703,-1.012835,352.5275,19.87587,359.8005,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,900,0.0428676,1.121142,-1.012204,352.781,20.71947,359.8969,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1000,0.04344822,1.121173,-1.011436,352.878,21.07114,359.9718,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1100,0.04437647,1.121136,-1.010884,352.8433,21.53304,0.1207066,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1200,0.045309,1.122867,-1.01021,351.626,22.05895,0.4709263,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1300,0.04552536,1.126028,-1.010056,349.1568,22.46871,0.8579224,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1400,0.04515175,1.127101,-1.011395,348.1678,22.60784,0.8872122,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1500,0.04490061,1.126872,-1.012303,348.3265,22.78041,0.8336353,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1600,0.04533859,1.125866,-1.012501,348.9929,23.41963,0.6788545,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1700,0.04618397,1.12529,-1.012489,349.4561,23.92579,0.3878298,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1800,0.0466551,1.124714,-1.012521,349.7885,24.33419,0.3907951,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,1900,0.0475529,1.124576,-1.012568,349.8741,24.79704,0.4273934,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,2000,0.04814206,1.124281,-1.012691,350.1951,24.90326,0.224495,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,2100,0.04814605,1.124086,-1.012758,350.2681,24.78416,0.1799212,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,2200,0.048351,1.123901,-1.012897,350.3951,24.67035,0.1320721,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,2300,0.04795163,1.123569,-1.012849,350.6942,24.47706,0.06553477,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,2400,0.04735051,1.123103,-1.012927,351.0746,24.09867,359.9898,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,2500,0.04716241,1.1234,-1.012621,350.9748,23.91743,359.9512,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,WaitingToReadyUp,2600,0.04727963,1.123417,-1.012522,350.8886,23.92643,359.9803,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,2700,0.04719345,1.123478,-1.012621,350.8708,23.92309,359.956,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,2800,0.04729842,1.123484,-1.012773,350.7654,23.97075,359.8597,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,2900,0.04750921,1.123572,-1.012813,350.7191,23.92653,359.8317,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3000,0.04739477,1.123845,-1.012803,350.5909,23.74215,359.778,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3100,0.04718463,1.123907,-1.012854,350.4434,23.78263,359.7939,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3200,0.04674862,1.124028,-1.012823,350.419,23.63039,359.8789,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3300,0.04641546,1.124088,-1.012887,350.3505,23.67313,0.0123385,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3400,0.04661289,1.124267,-1.013068,350.0651,23.97311,0.02947932,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3500,0.04710122,1.125037,-1.013512,349.5059,24.45759,0.1523774,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3600,0.04765653,1.125456,-1.013684,349.112,24.74937,0.152443,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3700,0.04788958,1.125978,-1.014183,348.7051,25.06832,0.2008844,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3800,0.04833844,1.126153,-1.014285,348.4792,25.21428,0.222712,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,3900,0.04817197,1.126264,-1.014152,348.339,25.05445,0.2358049,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4000,0.04798556,1.12663,-1.01433,348.1112,25.00047,0.2441623,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4100,0.04808643,1.126643,-1.014342,348.0057,25.02213,0.2084241,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4200,0.04818038,1.126629,-1.014331,348.0002,25.05756,0.1947794,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4300,0.04814318,1.126665,-1.014351,347.9327,25.08797,0.2337804,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4400,0.04818621,1.12672,-1.014326,347.9947,25.27984,0.2498662,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4500,0.0481563,1.126656,-1.01437,347.9508,25.28936,0.2218973,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4600,0.04836555,1.12665,-1.014669,347.9679,25.39824,0.2286677,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4700,0.04873108,1.126724,-1.014831,347.9881,25.40632,0.205593,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4800,0.04875285,1.12675,-1.014964,347.9088,25.43674,0.1721052,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,4900,0.04899035,1.126616,-1.014757,347.9829,25.38529,0.1516164,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5000,0.04908968,1.126454,-1.014714,348.0396,25.40055,0.1848593,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5100,0.04895359,1.126509,-1.01458,347.9301,25.38563,0.171774,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5200,0.04879422,1.126655,-1.014511,347.9795,25.35017,0.1837901,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5300,0.04893128,1.126465,-1.01437,348.0152,25.36529,0.184346,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5400,0.04881753,1.126565,-1.014434,347.944,25.38802,0.1793445,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5500,0.04886013,1.126482,-1.014483,347.9916,25.3547,0.1867051,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5600,0.04912335,1.126353,-1.014369,348.0001,25.43213,0.2031815,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5700,0.04921253,1.12633,-1.014341,348.0286,25.43694,0.1508242,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5800,0.04913295,1.126299,-1.014275,348.0813,25.47781,0.1421331,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,5900,0.04926857,1.126411,-1.014463,348.0862,25.54194,0.09411103,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6000,0.04959564,1.126198,-1.014747,348.072,25.54044,0.02802992,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6100,0.04967482,1.126129,-1.014348,348.0719,25.57541,0.08494673,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6200,0.04961953,1.12593,-1.0143,348.1471,25.42498,0.1031147,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6300,0.04937406,1.125877,-1.014426,348.1169,25.37243,0.1209084,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6400,0.04924031,1.125825,-1.014341,348.167,25.36487,0.09147555,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6500,0.04911811,1.125899,-1.014323,348.233,25.33366,0.1312718,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6600,0.04918619,1.125796,-1.014387,348.2342,25.33506,0.1359467,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6700,0.04914439,1.125675,-1.014394,348.3047,25.29349,0.0955444,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6800,0.04926794,1.125406,-1.014589,348.4648,25.24586,359.9934,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,6900,0.0489458,1.125442,-1.014702,348.4688,25.08644,359.9728,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7000,0.04882114,1.125497,-1.014695,348.5304,24.90817,359.9671,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7100,0.04868995,1.125419,-1.014684,348.4488,24.97463,359.9577,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7200,0.04917686,1.125588,-1.01484,348.3163,25.07119,359.8553,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7300,0.04937349,1.1257,-1.014662,348.2611,25.15182,359.854,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7400,0.04938742,1.12574,-1.01469,348.253,25.11519,359.8592,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7500,0.04963072,1.125499,-1.014804,348.2522,25.26329,359.8364,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7600,0.04949659,1.125438,-1.014662,348.3971,25.18401,359.7759,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7700,0.04930394,1.125234,-1.014608,348.5748,25.07366,359.8474,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7800,0.04900268,1.125107,-1.0146,348.6365,25.01559,359.8684,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,7900,0.04884245,1.124972,-1.0144,348.6999,24.97489,359.8823,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8000,0.04808954,1.124984,-1.014188,348.8221,24.20659,359.8651,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8100,0.04653511,1.12523,-1.013431,348.6983,22.81814,359.9443,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8200,0.04440748,1.125733,-1.012314,348.3946,20.76955,359.9203,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8300,0.04156168,1.126664,-1.011775,347.8542,18.29332,359.9157,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8400,0.03978846,1.12685,-1.011649,347.6925,17.43807,0.2782764,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8500,0.03675106,1.126779,-1.010387,347.8608,14.82214,0.299508,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8600,0.02525223,1.127855,-1.006722,347.6192,3.800784,0.2854353,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8700,0.002750341,1.128484,-1.006118,346.9397,343.7102,0.2877012,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8800,-0.01478828,1.12755,-1.011294,346.8599,329.0867,1.354625,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,8900,-0.02544008,1.127257,-1.015821,346.9204,321.3333,1.12948,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9000,-0.0302462,1.125576,-1.017092,348.1442,319.8294,1.752376,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9100,-0.028888,1.125378,-1.013857,348.7919,323.5708,2.292708,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9200,-0.01894509,1.12709,-1.007555,347.5365,332.6246,2.568463,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9300,-0.004607555,1.128775,-1.002248,346.9706,343.5674,2.250972,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9400,0.01371832,1.131282,-1,345.1073,358.0152,1.666792,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9500,0.03335518,1.131879,-1.003169,344.3965,12.73969,0.7924382,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9600,0.04555927,1.131001,-1.008089,344.809,21.8295,359.8585,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9700,0.05207876,1.130656,-1.011465,345.0175,25.93863,358.9356,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9800,0.05390297,1.129395,-1.012016,346.2224,25.95012,358.2791,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,9900,0.05329655,1.128488,-1.010959,346.9832,24.61021,358.3399,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10000,0.05297847,1.128125,-1.010186,347.4377,24.18619,358.4364,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10100,0.05257227,1.12819,-1.009741,347.3758,24.04792,358.4275,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10200,0.05206294,1.127532,-1.009453,347.851,23.80048,358.5136,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10300,0.05146137,1.127244,-1.00937,348.155,23.50401,358.606,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10400,0.05085678,1.127312,-1.009184,348.1447,23.23056,358.6627,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10500,0.05088783,1.127119,-1.008687,348.2254,23.02232,358.7151,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10600,0.05041131,1.126854,-1.008466,348.5086,22.92603,358.8166,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10700,0.05026668,1.126639,-1.008537,348.5692,22.83476,358.7403,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10800,0.05016843,1.126619,-1.008211,348.6905,22.67553,358.762,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,10900,0.05003229,1.126499,-1.007831,348.7326,22.65042,358.8314,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11000,0.04979735,1.126361,-1.007472,348.7053,22.49769,358.9374,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11100,0.04996254,1.126217,-1.007205,348.8215,22.426,358.9713,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11200,0.04988253,1.1262,-1.00716,348.896,22.44012,358.9841,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11300,0.05005897,1.126224,-1.007288,348.8586,22.43809,358.9272,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11400,0.05029219,1.126046,-1.007138,348.9138,22.46301,358.8997,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11500,0.05047991,1.125904,-1.006935,348.9555,22.60296,358.9552,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11600,0.05032267,1.12586,-1.006759,348.979,22.58852,359.0092,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11700,0.04995608,1.125777,-1.006587,349.0302,22.53874,359.0842,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11800,0.04967427,1.125754,-1.006461,349.0485,22.45998,359.1236,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,11900,0.04963737,1.12588,-1.006583,348.9715,22.44583,359.0971,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12000,0.04994067,1.125706,-1.006799,348.9307,22.6198,359.0782,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12100,0.05087629,1.126182,-1.007226,348.6133,23.13083,359.1524,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12200,0.05142234,1.127095,-1.00809,348.0057,23.69626,359.1939,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12300,0.05179546,1.127561,-1.008636,347.5755,23.85386,359.1017,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12400,0.05200022,1.1276,-1.00913,347.4761,24.02962,359.1085,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12500,0.05199331,1.127806,-1.009482,347.4082,24.0389,359.0858,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12600,0.05181928,1.127701,-1.00953,347.4142,24.02242,359.0511,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12700,0.05204488,1.127464,-1.009422,347.4565,24.12168,359.0618,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12800,0.05206645,1.127583,-1.009515,347.4143,24.18268,358.9893,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,12900,0.05243137,1.127338,-1.009607,347.3987,24.25221,358.9516,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,13000,0.05261621,1.127462,-1.009623,347.3809,24.21174,358.9287,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,13100,0.05248538,1.127589,-1.009987,347.3782,24.22303,358.8849,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,13200,0.0526508,1.127601,-1.010205,347.335,24.24598,358.8706,0,0,0,0,0,0,0,0
RG8876,VR,BarChartQ1,ReadingQuestion,13300,0.05277458,1.127629,-1.010029,347.2898,24.25295,358.8629,0,0,0,0,0,0,0,0
