ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Bottom
RL9680,VR Monitor,1,LineChartQ1,Bottom
RL9680,VR Monitor,1,LineChartQ1,Back
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Front
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Top
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
RL9680,VR Monitor,1,LineChartQ1,Right
