ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,0,0.1244901,1.111661,-1.052536,352.4141,14.63563,358.6309,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,100,0.1237898,1.111872,-1.05313,352.2758,14.26875,358.4914,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,200,0.1232133,1.11176,-1.053345,352.3026,13.90361,358.5235,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,300,0.1226821,1.111931,-1.05366,352.1927,13.53958,358.5747,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,400,0.1223398,1.112227,-1.054005,351.9719,13.34534,358.5923,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,500,0.122236,1.112998,-1.054648,351.2815,13.35112,358.5123,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,600,0.122144,1.113441,-1.055758,350.8034,13.39095,358.589,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,700,0.121506,1.114028,-1.056787,350.3952,13.32224,358.6438,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,800,0.1209612,1.114062,-1.0572,350.3411,13.15576,358.6871,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,900,0.120544,1.113939,-1.056939,350.4752,12.98997,358.7681,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,1000,0.1200867,1.113706,-1.056506,350.6089,12.83752,358.8273,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,1100,0.119543,1.11357,-1.056197,350.7586,12.53381,358.9615,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,1200,0.1189299,1.113284,-1.055993,350.9803,12.10096,358.9099,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,1300,0.1186779,1.113129,-1.056079,351.1129,11.9342,358.9377,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,1400,0.118637,1.11303,-1.056002,351.1867,12.05852,358.9157,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,1500,0.1187901,1.112728,-1.055578,351.3047,12.154,358.8965,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,1600,0.119353,1.112639,-1.055168,351.4875,12.27744,358.8026,0,0,0,0,0,0,0,0
RL9680,VR Monitor,LineChartQ1,WaitingToReadyUp,1700,0.1202212,1.112369,-1.054811,351.5935,12.53114,358.703,0,0,0,0,0,0,0,0
