ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,0,0.1307388,1.182237,-1.020838,334.8361,34.29562,1.485206,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,100,0.1303884,1.182317,-1.020522,334.754,34.17755,1.543472,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,200,0.1302278,1.182083,-1.020293,334.8861,34.03798,1.579857,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,300,0.1299841,1.182253,-1.020016,334.9733,33.88198,1.710044,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,400,0.1299122,1.181987,-1.019931,335.1062,33.8354,1.594844,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,500,0.130471,1.180969,-1.019549,335.8016,33.81545,1.443588,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,600,0.1312975,1.177949,-1.017856,337.8784,33.44084,1.281749,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,700,0.1325818,1.17335,-1.014615,341.0875,32.88865,0.8577886,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,800,0.134748,1.168538,-1.010169,344.6071,32.23013,0.6581334,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,900,0.1368726,1.164188,-1.005361,347.4481,31.837,0.5695792,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1000,0.1388026,1.161517,-1.00124,349.3685,31.79313,0.5330976,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1100,0.1403963,1.159759,-0.998438,350.2727,31.94342,0.6844617,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1200,0.1413223,1.158693,-0.9968919,350.8681,32.13153,0.8718963,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1300,0.1418954,1.158751,-0.9964596,350.8412,32.23967,0.7362193,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1400,0.1416993,1.159667,-0.9969441,350.2184,32.38744,0.8274313,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1500,0.1409326,1.160212,-0.9976214,349.8163,32.37775,0.9283935,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1600,0.1400313,1.161077,-0.9976805,349.3258,32.03231,0.8905534,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1700,0.138422,1.163133,-0.9985836,348.0867,31.54771,0.7998337,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1800,0.1368518,1.166101,-1.000422,346.2542,31.32252,0.7665157,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,1900,0.1354106,1.169995,-1.003197,343.6782,31.41586,0.6855235,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2000,0.133674,1.174727,-1.007431,340.4507,31.75698,0.6890042,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2100,0.1321348,1.178198,-1.012085,337.8107,32.17418,0.5394419,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2200,0.131629,1.179835,-1.015059,336.5876,32.6733,0.2976414,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2300,0.13175,1.180058,-1.016766,336.3367,33.14165,0.05065113,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2400,0.1323749,1.179835,-1.016778,336.4749,33.29727,359.9349,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2500,0.1329754,1.179532,-1.016233,336.7727,33.24108,359.9785,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2600,0.1332269,1.179119,-1.015214,337.2546,33.17088,0.157897,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2700,0.1339067,1.178246,-1.01404,337.6971,33.17517,0.286523,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2800,0.1342426,1.177883,-1.013208,337.9459,33.10327,0.3363382,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,2900,0.1341235,1.177428,-1.012836,338.3166,32.68198,0.3954515,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,3000,0.133205,1.177334,-1.012275,338.4555,32.0345,0.5328184,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,3100,0.132717,1.177357,-1.012281,338.4906,31.95199,0.6210811,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,3200,0.1326865,1.177219,-1.012062,338.6084,31.92126,0.6265977,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,3300,0.1322479,1.177099,-1.011658,338.6761,31.73268,0.7867253,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,3400,0.1316764,1.17698,-1.011144,338.7451,31.4279,0.823087,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,3500,0.1314564,1.176675,-1.010859,338.8311,31.37009,0.8808979,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,3600,0.1311083,1.176677,-1.011013,338.8442,31.2891,0.9398128,0,0,0,0,0,0,0,0
RR2012,VR Monitor,LineChartQ1,WaitingToReadyUp,3700,0.1314956,1.176515,-1.010805,338.8247,31.29999,0.8953112,0,0,0,0,0,0,0,0
